name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-10-1,1,0.67,7,1,59,201,0,0.068965,0,201,0.023128,201,272,0,0,0.000839,2,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00595903,201
poi-10-1,1,0.67,7,1,118,295,0,0.048023,1,295,0.0414379,295,309,0.000745,17,0.000345,3,18,15,3,0,0,0,0,0,102,6,0/2,0,0.019182,340
poi-10-1,1,0.67,7,2,59,201,0,0.004769,0,201,0.00190806,201,272,0,0,0.000115,1,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00146103,201
poi-10-1,1,0.67,7,2,118,295,0,0.046833,1,295,0.0404189,295,309,0.000792,17,0.000276,3,18,15,3,0,0,0,0,0,102,6,0/2,0,0.0157511,340
poi-10-1,1,0.67,7,3,59,201,0,0.004938,0,201,0.00182891,201,272,0,0,0.000134,1,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00151491,201
poi-10-1,1,0.67,7,3,118,295,0,0.047943,1,295,0.0416489,295,309,0.000856,17,0.000481,3,18,15,3,0,0,0,0,0,102,6,0/2,0,0.0161951,340
poi-10-1,1,0.67,22,1,59,201,0,0.005923,0,201,0.00299311,201,517,0,0,0.000201,2,0,0,0,0,0,0,0,0,58,4,0/20,0,0.00242019,201
poi-10-1,1,0.67,22,1,118,295,0,0.031682,1,295,0.028686,295,320,0.000418,7,0.000532,6,20,17,3,0,0,0,0,0,102,6,0/20,0,0.0820789,317
poi-10-1,1,0.67,22,2,59,201,0,0.008535,0,201,0.00417399,201,517,0,0,0.000305,3,0,0,0,0,0,0,0,0,58,4,0/20,0,0.00393605,201
poi-10-1,1,0.67,22,2,118,295,0,0.043858,1,295,0.040483,295,320,0.000428,6,0.000637,6,21,18,3,0,0,0,0,0,102,6,0/20,0,0.190174,317
poi-10-1,1,0.67,22,3,59,201,0,0.008649,0,201,0.00505996,201,517,0,0,0.000394,3,0,0,0,0,0,0,0,0,58,4,0/20,0,0.00431013,201
poi-10-1,1,0.67,22,3,118,295,0,0.063778,1,295,0.0596361,295,331,0.000406,6,0.000824,7,16,13,3,0,0,0,0,0,102,6,0/20,0,0.241524,317
poi-10-1,1,0.67,37,1,59,226,0,0.011661,1,226,0.00813985,226,226,2.4E-05,1,0.001178,9,6,0,0,0,0,0,0,6,58,4,1/96,4,0.00456095,226
poi-10-1,1,0.67,37,1,118,295,0,0.270752,1,295,0.261617,295,300,0.001513,35,0.000642,5,14,9,4,0,0,0,0,1,102,6,0/96,0,0.0197451,379
poi-10-1,1,0.67,37,2,59,226,0,0.015349,1,226,0.0110879,226,226,0,0,0.001139,10,6,0,0,0,0,0,0,6,58,4,1/96,4,0.00728607,226
poi-10-1,1,0.67,37,2,118,295,0,0.157182,10,295,0.145709,295,322,0.000795,16,0.000501,4,9,5,4,0,0,0,0,0,102,6,0/96,0,0.031816,379
poi-10-1,1,0.67,37,3,59,226,0,0.027998,1,226,0.0198779,226,226,0,0,0.001687,7,4,0,0,0,0,0,0,4,58,4,1/96,4,0.013911,226
poi-10-1,1,0.67,37,3,118,295,0,0.518537,13,295,0.493904,295,311,0.002032,37,0.000759,5,14,9,4,0,0,0,0,1,102,6,0/96,0,0.0505631,379
poi-10-1,1,1,7,1,59,201,0,0.004909,0,201,0.00214195,201,287,0,0,0.000213,2,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00149989,201
poi-10-1,1,1,7,1,118,295,0,0.02495,1,295,0.02215,295,316,0.000402,8,0.000276,4,22,15,7,0,0,0,0,0,101,5,1/2,0,0.012728,340
poi-10-1,1,1,7,2,59,201,0,0.004809,0,201,0.00189614,201,287,0,0,0.000127,1,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00156403,201
poi-10-1,1,1,7,2,118,295,0,0.025597,1,295,0.0226409,295,316,0.000376,8,0.000345,4,22,15,7,0,0,0,0,0,101,5,1/2,0,0.00868201,340
poi-10-1,1,1,7,3,59,201,0,0.005389,0,201,0.00195217,201,287,0,0,0.000141,1,0,0,0,0,0,0,0,0,58,4,0/2,0,0.00153589,201
poi-10-1,1,1,7,3,118,295,0,0.02622,1,295,0.022819,295,316,0.000415,8,0.000368,4,22,15,7,0,0,0,0,0,101,5,1/2,0,0.00875306,340
poi-10-1,1,1,22,1,59,201,0,0.005917,0,201,0.00309205,201,682,0,0,0.000235,2,0,0,0,0,0,0,0,0,58,4,0/20,0,0.00250006,201
poi-10-1,1,1,22,1,118,295,0,0.054983,1,295,0.0518131,295,322,0.000535,9,0.000804,8,28,18,10,0,0,0,0,0,101,5,1/20,0,0.112805,317
poi-10-1,1,1,22,2,59,201,0,0.006838,0,201,0.00363398,201,682,0,0,0.000121,1,0,0,0,0,0,0,0,0,58,3,1/20,11,0.00327206,201
poi-10-1,1,1,22,2,118,295,0,0.082276,1,295,0.07812,295,328,0.000945,19,0.000671,7,38,28,10,0,0,0,0,0,101,5,1/20,0,0.0778871,317
poi-10-1,1,1,22,3,59,201,0,0.007867,0,201,0.00433207,201,682,0,0,0.000134,1,0,0,0,0,0,0,0,0,58,3,1/20,11,0.00397205,201
poi-10-1,1,1,22,3,118,295,0,0.172659,1,295,0.161104,295,313,0.001375,26,0.000515,4,30,27,3,0,0,0,0,0,112,5,1/20,0,0.148592,317
poi-10-1,1,1,37,1,59,239,0,0.010724,1,239,0.00722599,239,239,1.9E-05,1,0.000868,9,6,0,0,0,0,0,0,6,58,4,1/96,4,0.00475192,239
poi-10-1,1,1,37,1,118,295,0,0.14602,1,295,0.142198,295,312,0.000578,14,0.000508,5,8,5,0,0,1,0,0,2,101,5,1/96,0,0.02315,411
poi-10-1,1,1,37,2,59,239,0,0.01516,1,239,0.010741,239,239,0,0,0.001118,10,6,0,0,0,0,0,0,6,58,4,1/96,4,0.00748301,239
