name,alpha,beta,L,m,T,OBJ,GAP,CPU,nodes,obj_bound,root_time,root_obj,root_bound,frac_time,frac_calls,int_time,int_calls,total_cuts,frac_conn,conn,noverlap,0noverlap,proper_noverlap,depot_flyover,synchro,compl_time,y(N),z(H),w(N),LP_time,LP_obj
poi-7-1,1,0.67,16,1,75,135,0,0.029878,0,135,0.00326109,135,1.00E+100,0,0,0.000168,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.00242805,135
poi-7-1,1,0.67,16,1,115,191,0,0.004847,0,191,0.00248098,191,209,0,0,8.80E-05,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00186801,191
poi-7-1,1,0.67,16,2,75,135,0,0.0026,0,135,0.000688076,135,1.00E+100,0,0,3.80E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000583887,135
poi-7-1,1,0.67,16,2,115,191,0,0.004457,0,191,0.00215912,191,209,0,0,9.20E-05,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00188088,191
poi-7-1,1,0.67,16,3,75,135,0,0.00274,0,135,0.000695944,135,1.00E+100,0,0,4.30E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000569105,135
poi-7-1,1,0.67,16,3,115,191,0,0.004731,0,191,0.00237298,191,209,0,0,0.000152,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.002069,191
poi-7-1,1,0.67,32,1,75,135,0,0.003161,0,135,0.000221968,135,1.00E+100,0,0,4.80E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000675917,135
poi-7-1,1,0.67,32,1,115,191,0,0.00473,0,191,0.00274897,191,209,0,0,8.60E-05,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00239015,191
poi-7-1,1,0.67,32,2,75,135,0,0.00339,0,135,0.000225067,135,1.00E+100,0,0,4.50E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000787973,135
poi-7-1,1,0.67,32,2,115,191,0,0.005485,0,191,0.00328708,191,209,0,0,0.000103,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00267792,191
poi-7-1,1,0.67,32,3,75,135,0,0.003662,0,135,0.000245094,135,1.00E+100,0,0,5.10E-05,1,0,0,0,0,0,0,0,0,69,3,0/8,0,0.000889063,135
poi-7-1,1,0.67,32,3,115,191,0,0.005803,0,191,0.00342107,191,209,0,0,0.000112,2,0,0,0,0,0,0,0,0,101,4,0/8,0,0.00314999,191
poi-7-1,1,1.33,16,1,75,135,0,0.004366,0,135,0.00113392,135,1.00E+100,0,0,7.00E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000861883,135
poi-7-1,1,1.33,16,1,115,191,0,0.004636,0,191,0.00241685,191,209,0,0,8.70E-05,2,0,0,0,0,0,0,0,0,101,4,0/0,0,0.00183201,191
poi-7-1,1,1.33,16,2,75,135,0,0.003298,0,135,0.000840902,135,1.00E+100,0,0,4.00E-05,1,0,0,0,0,0,0,0,0,69,3,0/0,0,0.000545025,135
