name alpha L m OBJ GAP CPU nodes obj_bound root_time root_obj root_bound frac_time frac_calls int_time int_calls total_cuts frac_conn conn noverlap 0noverlap proper_noverlap depot_flyover synchro compl_time y(N) z(H) w(N) LP_time LP_obj
poi-20-1 2 16.5993 1 217.829 0 1.05401 986 217.829 0.292801 1e+100 207.165 0.029585 553 0.031525 38 309 41 130 116 4 0 15 3 217.829 15 5/246 1.43222 0.0365789 180.397
poi-20-1 2 16.5993 2 203.397 0 0.760016 356 203.397 0.429274 1e+100 201.898 0.011649 276 0.034269 29 248 30 50 131 5 0 30 2 203.397 12 8/246 0 0.295716 180.397
poi-20-1 2 16.5993 3 202.397 0 0.483209 1 202.397 0.452349 202.397 202.317 0.002398 16 0.013594 17 157 45 72 26 2 0 12 0 202.397 10 10/246 0 0.434259 180.397
poi-20-1 2 33.1987 1 191.432 0 82.9456 12614 191.432 1.218 1e+100 160.525 0.506608 7932 0.099684 47 820 359 84 308 7 0 33 29 191.432 11 9/2038 1.43222 3.47035 147.637
poi-20-1 2 33.1987 2 168.818 0 722.933 47083 168.818 11.5356 1e+100 133.856 1.48707 27142 0.4064 145 3158 1449 160 1181 81 0 213 74 168.818 8 12/2038 0.817919 6.13328 119
poi-20-1 2 33.1987 3 157.375 0 1618.68 66849 157.375 17.9046 1e+100 122.886 2.12511 40801 0.805353 294 3346 588 103 1864 271 0 380 140 157.375 7 13/2038 1.37471 46.1913 110
poi-20-2 2 15.0093 1 221.485 0 0.510137 250 221.485 0.334642 240.485 215.357 0.017116 166 0.020465 31 452 232 163 48 2 0 4 3 221.485 13 7/122 1.48528 0.107127 214.485
poi-20-2 2 15.0093 2 213 1.20826e-09 0.245361 3 213 0.234069 213 212.871 0.001069 20 0.020138 23 149 0 89 47 1 0 12 0 213 13 7/122 0 0.0658638 212
poi-20-2 2 15.0093 3 212 0 0.082143 1 212 0.072598 212 212 9.7e-05 2 0.00425 9 59 0 56 3 0 0 0 0 212 12 8/122 0 0.0484679 212
poi-20-2 2 30.0187 1 176.124 0 48.8077 8528 176.124 3.05823 249.507 155.663 0.350732 5273 0.11519 71 1038 451 143 366 5 0 51 22 176.124 12 8/1722 2.68535 1.90405 155
poi-20-2 2 30.0187 2 141.902 0 63.9068 7632 141.902 6.94153 160 118.38 0.220693 4434 0.084743 57 1087 662 148 199 8 0 27 43 141.902 8 12/1722 6.68065 6.68536 125.012
poi-20-2 2 30.0187 3 137.971 0 128.522 9492 137.971 15.2299 1e+100 106.934 0.394999 6465 0.199418 109 2161 1267 238 474 23 0 112 47 137.971 5 15/1722 5.97142 12.1081 125.012
poi-20-3 2 18.7421 1 248 0 1.69941 1359 248 0.373778 1e+100 237.148 0.052297 789 0.061706 58 668 307 76 238 5 0 42 0 248 14 6/224 0 1.06706 240
poi-20-3 2 18.7421 2 240 0 1.82424 650 240 0.785661 353 233.868 0.020405 404 0.071163 57 355 0 77 217 2 0 59 0 240 11 9/224 0 0.094789 233
poi-20-3 2 18.7421 3 238 0 6.24997 4194 238 0.411895 1e+100 233 0.134867 2750 0.266013 169 1120 277 95 548 10 0 190 0 238 11 9/224 0 0.122163 233
poi-20-3 2 37.4843 1 195.727 0 57.6789 10621 195.727 1.75315 1e+100 172.197 0.415523 6584 0.164546 65 941 207 182 459 12 0 58 23 195.727 10 10/2256 1.37888 0.343256 164.379
poi-20-3 2 37.4843 2 160.94 0 234.806 18874 160.94 25.2733 176.705 137.582 0.635422 11882 0.243537 109 1439 433 253 549 28 0 113 63 160.94 9 11/2256 1.94049 5.52828 129
