InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-50-1	1	1	12	1	108	997	0.5001278	5000	0.5001278
poi-50-1	1	1	12	1	217	1927	0.7648287	5000	0.7648287
poi-50-1	1	1	12	2	108	1026	0.3333324	5000	0.3333324
poi-50-1	1	1	12	2	217	2012	0.777334	5000	0.777334
poi-50-1	1	1	12	3	108	1026	0.339221	5000	0.339221
poi-50-1	1	1	12	3	217	2009	0.7643536	5000	0.7643536
poi-50-1	1	1	25	1	108	1097	0.3755547	5000	0.3755547
poi-50-1	1	1	25	1	217	2110	0.9122839	5000	0.9122839
poi-50-1	1	1	25	2	108	1136	0.3851718	5000	0.3851718
poi-50-1	1	1	25	2	217	2186	0.906823	5000	0.906823
poi-50-1	1	1	25	3	108	1164	0.4426616	5000	0.4426616
poi-50-1	1	1	25	3	217	2366	0.9255129	5000	0.9255129
poi-50-2	1	1	12	1	112	1522	0.477348	5000	0.477348
poi-50-2	1	1	12	1	225	2103	0.9275555	5000	0.9275555
poi-50-2	1	1	12	2	112	1529	0.4390683	5000	0.4390683
poi-50-2	1	1	12	2	225	2103	0.9076375	5000	0.9076375
poi-50-2	1	1	12	3	112	1529	0.4418076	5000	0.4418076
poi-50-2	1	1	12	3	225	2103	0.8956562	5000	0.8956562
poi-50-2	1	1	24	1	112	1522	0.5115604	5000	0.5115604
poi-50-2	1	1	24	1	225	2138	1.0096699	5000	1.0096699
poi-50-2	1	1	24	2	112	1617	0.5217577	5000	0.5217577
poi-50-2	1	1	24	2	225	2209	0.95061	5000	0.95061
poi-50-2	1	1	24	3	112	1617	0.5576288	5000	0.5576288
poi-50-2	1	1	24	3	225	2280	0.9550933	5000	0.9550933
poi-50-3	1	1	13	1	109	1088	0.4251337	5000	0.4251337
poi-50-3	1	1	13	1	218	1961	0.8371114	5000	0.8371114
poi-50-3	1	1	13	2	109	1101	0.3997959	5000	0.3997959
poi-50-3	1	1	13	2	218	2009	0.830801	5000	0.830801
poi-50-3	1	1	13	3	109	1151	0.411014	5000	0.411014
poi-50-3	1	1	13	3	218	2004	0.8104417	5000	0.8104417
poi-50-3	1	1	26	1	109	1166	0.44531	5000	0.44531
poi-50-3	1	1	26	1	218	2044	1.0099371	5000	1.0099371
poi-50-3	1	1	26	2	109	1166	0.4521001	5000	0.4521001
poi-50-3	1	1	26	2	218	2164	0.9072546	5000	0.9072546
poi-50-3	1	1	26	3	109	1257	0.4948818	5000	0.4948818
poi-50-3	1	1	26	3	218	2274	0.8929566	5000	0.8929566
poi-50-4	1	1	13	1	108	838	0.3085441	5000	0.3085441
poi-50-4	1	1	13	1	216	1699	0.7508338	5000	0.7508338
poi-50-4	1	1	13	2	108	838	0.3081096	5000	0.3081096
poi-50-4	1	1	13	2	216	1733	0.725189	5000	0.725189
poi-50-4	1	1	13	3	108	853	0.3240654	5000	0.3240654
