InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-50-1	1	1	12	1	108	997	0.6850894	5000	0.6850894
poi-50-1	1	1	12	1	217	1927	1.5131225	5000	1.5131225
poi-50-1	1	1	12	2	108	1026	0.490604	5000	0.490604
poi-50-1	1	1	12	2	217	2012	1.5012468	5000	1.5012468
poi-50-1	1	1	12	3	108	1026	0.4912604	5000	0.4912604
poi-50-1	1	1	12	3	217	2009	1.473549	5000	1.473549
poi-50-1	1	1	25	1	108	1097	0.5453183	5000	0.5453183
poi-50-1	1	1	25	1	217	2110	1.6468649	5000	1.6468649
poi-50-1	1	1	25	2	108	1136	0.5314708	5000	0.5314708
poi-50-1	1	1	25	2	217	2186	1.4787574	5000	1.4787574
poi-50-1	1	1	25	3	108	1164	0.5860454	5000	0.5860454
poi-50-1	1	1	25	3	217	2366	1.4407191	5000	1.4407191
poi-50-2	1	1	12	1	112	1522	0.7837676	5000	0.7837676
poi-50-2	1	1	12	1	225	2103	1.8809387	5000	1.8809387
poi-50-2	1	1	12	2	112	1529	0.7057998	5000	0.7057998
poi-50-2	1	1	12	2	225	2103	1.7960168	5000	1.7960168
poi-50-2	1	1	12	3	112	1529	0.6944848	5000	0.6944848
poi-50-2	1	1	12	3	225	2103	1.7535074	5000	1.7535074
poi-50-2	1	1	24	1	112	1522	0.8037565	5000	0.8037565
poi-50-2	1	1	24	1	225	2138	1.8344449	5000	1.8344449
poi-50-2	1	1	24	2	112	1617	0.7694129	5000	0.7694129
poi-50-2	1	1	24	2	225	2209	1.5824252	5000	1.5824252
poi-50-2	1	1	24	3	112	1617	0.7739645	5000	0.7739645
poi-50-2	1	1	24	3	225	2280	1.5006098	5000	1.5006098
poi-50-3	1	1	13	1	109	1088	0.6768113	5000	0.6768113
poi-50-3	1	1	13	1	218	1961	1.6654063	5000	1.6654063
poi-50-3	1	1	13	2	109	1101	0.6167465	5000	0.6167465
poi-50-3	1	1	13	2	218	2009	1.5721338	5000	1.5721338
poi-50-3	1	1	13	3	109	1151	0.6141898	5000	0.6141898
poi-50-3	1	1	13	3	218	2004	1.5023198	5000	1.5023198
poi-50-3	1	1	26	1	109	1166	0.6680277	5000	0.6680277
poi-50-3	1	1	26	1	218	2044	1.6624317	5000	1.6624317
poi-50-3	1	1	26	2	109	1166	0.6355913	5000	0.6355913
poi-50-3	1	1	26	2	218	2164	1.4919893	5000	1.4919893
poi-50-3	1	1	26	3	109	1257	0.6732326	5000	0.6732326
poi-50-3	1	1	26	3	218	2274	1.387367	5000	1.387367
poi-50-4	1	1	13	1	108	838	0.4351251	5000	0.4351251
poi-50-4	1	1	13	1	216	1699	1.3720637	5000	1.3720637
poi-50-4	1	1	13	2	108	838	0.4300132	5000	0.4300132
poi-50-4	1	1	13	2	216	1733	1.3040666	5000	1.3040666
poi-50-4	1	1	13	3	108	853	0.4536839	5000	0.4536839
poi-50-4	1	1	13	3	216	1748	1.3831679	5000	1.3831679
poi-50-4	1	1	27	1	108	902	0.4655683	5000	0.4655683
poi-50-4	1	1	27	1	216	1758	1.33255	5000	1.33255
poi-50-4	1	1	27	2	108	963	0.4925884	5000	0.4925884
poi-50-4	1	1	27	2	216	2103	1.2519985	5000	1.2519985
poi-50-4	1	1	27	3	108	1018	0.5598604	5000	0.5598604
poi-50-4	1	1	27	3	216	2179	1.2493084	5000	1.2493084
poi-50-5	1	1	11	1	111	1305	0.6594009	5000	0.6594009
poi-50-5	1	1	11	1	222	2093	1.7062241	5000	1.7062241
poi-50-5	1	1	11	2	111	1286	0.6370761	5000	0.6370761
poi-50-5	1	1	11	2	222	2132	1.6651282	5000	1.6651282
poi-50-5	1	1	11	3	111	1329	0.6465859	5000	0.6465859
poi-50-5	1	1	11	3	222	2135	1.6053432	5000	1.6053432
poi-50-5	1	1	23	1	111	1339	0.7517701	5000	0.7517701
poi-50-5	1	1	23	1	222	2102	1.734045	5000	1.734045
poi-50-5	1	1	23	2	111	1417	0.7231692	5000	0.7231692
poi-50-5	1	1	23	2	222	2221	1.537552	5000	1.537552
poi-50-5	1	1	23	3	111	1461	0.7306823	5000	0.7306823
poi-50-5	1	1	23	3	222	2276	1.4931321	5000	1.4931321
r-75-1	1	1	12	1	131	1932	1.946289	5000	1.946289
r-75-1	1	1	12	1	263	3278	6.1030245	5000	6.1030245
r-75-1	1	1	12	2	131	2079	1.8227346	5000	1.8227346
r-75-1	1	1	12	2	263	3382	5.7845889	5000	5.7845889
r-75-1	1	1	12	3	131	2073	1.7859942	5000	1.7859942
r-75-1	1	1	12	3	263	3500	5.5046298	5000	5.5046298
r-75-1	1	1	24	1	131	1906	2.1044734	5000	2.1044734
r-75-1	1	1	24	1	263	3233	6.4228395	5000	6.4228395
r-75-1	1	1	24	2	131	2066	2.0471187	5000	2.0471187
r-75-1	1	1	24	2	263	3540	5.634635	5000	5.634635
r-75-1	1	1	24	3	131	2219	2.0444063	5000	2.0444063
r-75-1	1	1	24	3	263	3569	5.2608927	5000	5.2608927
r-75-2	1	1	12	1	127	1827	2.4474244	5000	2.4474244
r-75-2	1	1	12	1	254	3205	6.2876591	5000	6.2876591
r-75-2	1	1	12	2	127	1895	2.162216	5000	2.162216
r-75-2	1	1	12	2	254	3339	5.6053922	5000	5.6053922
r-75-2	1	1	12	3	127	1931	2.1368937	5000	2.1368937
r-75-2	1	1	12	3	254	3352	5.5120258	5000	5.5120258
r-75-2	1	1	24	1	127	1816	2.5803748	5000	2.5803748
r-75-2	1	1	24	1	254	3201	6.5592165	5000	6.5592165
r-75-2	1	1	24	2	127	1882	2.433258	5000	2.433258
r-75-2	1	1	24	2	254	3318	5.7711122	5000	5.7711122
r-75-2	1	1	24	3	127	2005	2.3370916	5000	2.3370916
r-75-2	1	1	24	3	254	3495	5.2327788	5000	5.2327788
r-75-3	1	1	13	1	131	1816	1.8815737	5000	1.8815737
r-75-3	1	1	13	1	262	3191	6.196263	5000	6.196263
r-75-3	1	1	13	2	131	1921	1.7320114	5000	1.7320114
r-75-3	1	1	13	2	262	3271	5.7953031	5000	5.7953031
r-75-3	1	1	13	3	131	1906	1.6842056	5000	1.6842056
r-75-3	1	1	13	3	262	3220	5.3886063	5000	5.3886063
r-75-3	1	1	26	1	131	1900	2.0084828	5000	2.0084828
r-75-3	1	1	26	1	262	3112	6.1882478	5000	6.1882478
r-75-3	1	1	26	2	131	2016	1.928298	5000	1.928298
r-75-3	1	1	26	2	262	3298	5.6047002	5000	5.6047002
r-75-3	1	1	26	3	131	2187	1.9040597	5000	1.9040597
