N,centers,identifier,TSP
50,1,1,81
50,1,1,162
50,1,2,75
50,1,2,151
50,1,3,62
50,1,3,124
50,1,4,76
50,1,4,153
50,1,5,68
50,1,5,137
50,2,1,70
50,2,1,141
50,2,2,76
50,2,2,152
50,2,3,63
50,2,3,126
50,2,4,85
50,2,4,170
50,2,5,68
50,2,5,137
50,3,1,81
50,3,1,162
50,3,2,80
50,3,2,161
50,3,3,81
50,3,3,162
50,3,4,87
50,3,4,174
50,3,5,73
50,3,5,146
75,1,1,85
75,1,1,170
75,1,2,82
75,1,2,165
75,1,3,78
75,1,3,157
75,1,4,80
75,1,4,160
75,1,5,87
75,1,5,175
75,2,1,102
75,2,1,205
75,2,2,93
75,2,2,186
75,2,3,96
75,2,3,193
75,2,4,91
75,2,4,182
75,2,5,99
75,2,5,199
75,3,1,97
75,3,1,194
75,3,2,98
75,3,2,197
75,3,3,109
75,3,3,218
75,3,4,93
75,3,4,186
75,3,5,112
75,3,5,224
100,1,1,76
100,1,1,152
100,1,2,107
100,1,2,214
100,1,3,94
100,1,3,188
100,1,4,77
100,1,4,154
100,1,5,88
100,1,5,176
100,2,1,100
100,2,1,200
100,2,2,105
100,2,2,210
100,2,3,101
100,2,3,202
100,2,4,81
100,2,4,162
100,2,5,111
100,2,5,222
100,3,1,114
100,3,1,228
100,3,2,114
100,3,2,228
100,3,3,123
100,3,3,246
100,3,4,115
100,3,4,230
100,3,5,105
100,3,5,210
125,1,1,94
125,1,1,188
125,1,2,128
125,1,2,256
125,1,3,102
125,1,3,204
125,1,4,107
125,1,4,214
125,1,5,105
125,1,5,210
125,2,1,114
125,2,1,228
125,2,2,113
125,2,2,226
125,2,3,105
125,2,3,211
125,2,4,111
125,2,4,222
125,2,5,101
125,2,5,202
125,3,1,117
125,3,1,234
125,3,2,115
125,3,2,230
125,3,3,119
125,3,3,238
125,3,4,121
125,3,4,243
125,3,5,129
125,3,5,259
150,1,1,106
150,1,1,212
150,1,2,100
150,1,2,200
150,1,3,117
150,1,3,234
150,1,4,126
150,1,4,252
150,1,5,101
150,1,5,202
150,2,1,113
150,2,1,226
150,2,2,130
150,2,2,260
150,2,3,125
150,2,3,250
150,2,4,115
150,2,4,231
150,2,5,119
150,2,5,239
150,3,1,114
150,3,1,229
150,3,2,141
150,3,2,282
150,3,3,137
150,3,3,275
150,3,4,151
150,3,4,302
150,3,5,121
150,3,5,242
