name	alpha	beta	L	m	T	L_ratioT_ratio
poi-10-1	1	0.67	15	1	59	
poi-10-1	1	0.67	15	1	118	
poi-10-1	1	0.67	15	2	59	
poi-10-1	1	0.67	15	2	118	
poi-10-1	1	0.67	15	3	59	
poi-10-1	1	0.67	15	3	118	
poi-10-1	1	0.67	30	1	59	
poi-10-1	1	0.67	30	1	118	
poi-10-1	1	0.67	30	2	59	
poi-10-1	1	0.67	30	2	118	
poi-10-1	1	0.67	30	3	59	
poi-10-1	1	0.67	30	3	118	
poi-10-1	1	1.0	15	1	59	
poi-10-1	1	1.0	15	1	118	
poi-10-1	1	1.0	15	2	59	
poi-10-1	1	1.0	15	2	118	
poi-10-1	1	1.0	15	3	59	
poi-10-1	1	1.0	15	3	118	
poi-10-1	1	1.0	30	1	59	
poi-10-1	1	1.0	30	1	118	
poi-10-1	1	1.0	30	2	59	
poi-10-1	1	1.0	30	2	118	
poi-10-1	1	1.0	30	3	59	
poi-10-1	1	1.0	30	3	118	
poi-10-1	1	1.33	15	1	59	
poi-10-1	1	1.33	15	1	118	
poi-10-1	1	1.33	15	2	59	
poi-10-1	1	1.33	15	2	118	
poi-10-1	1	1.33	15	3	59	
poi-10-1	1	1.33	15	3	118	
poi-10-1	1	1.33	30	1	59	
poi-10-1	1	1.33	30	1	118	
poi-10-1	1	1.33	30	2	59	
poi-10-1	1	1.33	30	2	118	
poi-10-1	1	1.33	30	3	59	
poi-10-1	1	1.33	30	3	118	
poi-10-1	2	0.67	15	1	59	
poi-10-1	2	0.67	15	1	118	
poi-10-1	2	0.67	15	2	59	
poi-10-1	2	0.67	15	2	118	
poi-10-1	2	0.67	15	3	59	
poi-10-1	2	0.67	15	3	118	
poi-10-1	2	0.67	30	1	59	
poi-10-1	2	0.67	30	1	118	
poi-10-1	2	0.67	30	2	59	
poi-10-1	2	0.67	30	2	118	
poi-10-1	2	0.67	30	3	59	
poi-10-1	2	0.67	30	3	118	
poi-10-1	2	1.0	15	1	59	
poi-10-1	2	1.0	15	1	118	
poi-10-1	2	1.0	15	2	59	
poi-10-1	2	1.0	15	2	118	
poi-10-1	2	1.0	15	3	59	
poi-10-1	2	1.0	15	3	118	
poi-10-1	2	1.0	30	1	59	
poi-10-1	2	1.0	30	1	118	
poi-10-1	2	1.0	30	2	59	
poi-10-1	2	1.0	30	2	118	
poi-10-1	2	1.0	30	3	59	
