name	alpha	beta	L	m	T
r-75-1	1	0.67	12	1	131
r-75-1	1	0.67	12	1	263
r-75-1	1	0.67	12	2	131
r-75-1	1	0.67	12	2	263
r-75-1	1	0.67	12	3	131
r-75-1	1	0.67	12	3	263
r-75-1	1	0.67	24	1	131
r-75-1	1	0.67	24	1	263
r-75-1	1	0.67	24	2	131
r-75-1	1	0.67	24	2	263
r-75-1	1	0.67	24	3	131
r-75-1	1	0.67	24	3	263
r-75-1	1	1.0	12	1	131
r-75-1	1	1.0	12	1	263
r-75-1	1	1.0	12	2	131
r-75-1	1	1.0	12	2	263
r-75-1	1	1.0	12	3	131
r-75-1	1	1.0	12	3	263
r-75-1	1	1.0	24	1	131
r-75-1	1	1.0	24	1	263
r-75-1	1	1.0	24	2	131
r-75-1	1	1.0	24	2	263
r-75-1	1	1.0	24	3	131
r-75-1	1	1.0	24	3	263
r-75-1	1	1.33	12	1	131
r-75-1	1	1.33	12	1	263
r-75-1	1	1.33	12	2	131
r-75-1	1	1.33	12	2	263
r-75-1	1	1.33	12	3	131
r-75-1	1	1.33	12	3	263
r-75-1	1	1.33	24	1	131
r-75-1	1	1.33	24	1	263
r-75-1	1	1.33	24	2	131
r-75-1	1	1.33	24	2	263
r-75-1	1	1.33	24	3	131
r-75-1	1	1.33	24	3	263
r-75-1	2	0.67	12	1	131
r-75-1	2	0.67	12	1	263
r-75-1	2	0.67	12	2	131
r-75-1	2	0.67	12	2	263
r-75-1	2	0.67	12	3	131
r-75-1	2	0.67	12	3	263
r-75-1	2	0.67	24	1	131
r-75-1	2	0.67	24	1	263
r-75-1	2	0.67	24	2	131
r-75-1	2	0.67	24	2	263
r-75-1	2	0.67	24	3	131
r-75-1	2	0.67	24	3	263
r-75-1	2	1.0	12	1	131
r-75-1	2	1.0	12	1	263
r-75-1	2	1.0	12	2	131
r-75-1	2	1.0	12	2	263
r-75-1	2	1.0	12	3	131
r-75-1	2	1.0	12	3	263
r-75-1	2	1.0	24	1	131
r-75-1	2	1.0	24	1	263
r-75-1	2	1.0	24	2	131
r-75-1	2	1.0	24	2	263
r-75-1	2	1.0	24	3	131
r-75-1	2	1.0	24	3	263
r-75-1	2	1.33	12	1	131
r-75-1	2	1.33	12	1	263
r-75-1	2	1.33	12	2	131
r-75-1	2	1.33	12	2	263
r-75-1	2	1.33	12	3	131
r-75-1	2	1.33	12	3	263
r-75-1	2	1.33	24	1	131
r-75-1	2	1.33	24	1	263
r-75-1	2	1.33	24	2	131
r-75-1	2	1.33	24	2	263
r-75-1	2	1.33	24	3	131
r-75-1	2	1.33	24	3	263
r-75-2	1	0.67	12	1	127
r-75-2	1	0.67	12	1	254
r-75-2	1	0.67	12	2	127
r-75-2	1	0.67	12	2	254
r-75-2	1	0.67	12	3	127
r-75-2	1	0.67	12	3	254
r-75-2	1	0.67	24	1	127
