name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-10-1	1.0	0.67	15.0	1	59.0	201	0.0	0.0045	1.0	201.00
poi-10-1	1.0	0.67	15.0	1	118.0	295	0.0	0.1295	3.0	295.00
poi-10-1	1.0	0.67	15.0	2	59.0	201	0.0	0.0027	0.0	201.00
poi-10-1	1.0	0.67	15.0	2	118.0	295	0.0	0.1332	1.0	295.00
poi-10-1	1.0	0.67	15.0	3	59.0	201	0.0	0.0029	0.0	201.00
poi-10-1	1.0	0.67	15.0	3	118.0	295	0.0	0.1954	7.0	295.00
poi-10-1	1.0	0.67	30.0	1	59.0	201	0.0	0.0084	1.0	201.00
poi-10-1	1.0	0.67	30.0	1	118.0	295	0.0	0.3007	9.0	295.00
poi-10-1	1.0	0.67	30.0	2	59.0	201	0.0	0.0047	1.0	201.00
poi-10-1	1.0	0.67	30.0	2	118.0	295	0.0	0.2473	29.0	295.00
poi-10-1	1.0	0.67	30.0	3	59.0	201	0.0	0.0100	1.0	201.00
poi-10-1	1.0	0.67	30.0	3	118.0	295	0.0	0.4391	11.0	295.00
poi-10-1	1.0	1.0	15.0	1	59.0	201	0.0	0.0043	0.0	201.00
poi-10-1	1.0	1.0	15.0	1	118.0	295	0.0	0.1163	5.0	295.00
poi-10-1	1.0	1.0	15.0	2	59.0	201	0.0	0.0027	0.0	201.00
poi-10-1	1.0	1.0	15.0	2	118.0	295	0.0	0.0173	1.0	295.00
poi-10-1	1.0	1.0	15.0	3	59.0	201	0.0	0.0029	0.0	201.00
poi-10-1	1.0	1.0	15.0	3	118.0	295	0.0	0.0616	1.0	295.00
poi-10-1	1.0	1.0	30.0	1	59.0	201	0.0	0.0084	1.0	201.00
poi-10-1	1.0	1.0	30.0	1	118.0	295	0.0	0.2181	92.0	295.00
poi-10-1	1.0	1.0	30.0	2	59.0	201	0.0	0.0047	1.0	201.00
poi-10-1	1.0	1.0	30.0	2	118.0	295	0.0	0.2222	117.0	295.00
poi-10-1	1.0	1.0	30.0	3	59.0	201	0.0	0.0055	1.0	201.00
poi-10-1	1.0	1.0	30.0	3	118.0	295	0.0	0.2785	22.0	295.00
poi-10-1	1.0	1.33	15.0	1	59.0	233	0.0	0.0025	0.0	233.00
poi-10-1	1.0	1.33	15.0	1	118.0	327	0.0	0.1148	3.0	327.00
poi-10-1	1.0	1.33	15.0	2	59.0	233	0.0	0.0032	1.0	233.00
poi-10-1	1.0	1.33	15.0	2	118.0	327	0.0	0.1713	33.0	327.00
poi-10-1	1.0	1.33	15.0	3	59.0	233	0.0	0.0034	1.0	233.00
poi-10-1	1.0	1.33	15.0	3	118.0	327	0.0	0.2720	8.0	327.00
poi-10-1	1.0	1.33	30.0	1	59.0	233	0.0	0.0106	1.0	233.00
poi-10-1	1.0	1.33	30.0	1	118.0	347	0.0	0.3867	19.0	347.00
