name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-1	1.0	0.67	13.0	1	171.0	1062	0.0	9.4185	183.0	1062.00
poi-30-1	1.0	0.67	13.0	2	171.0	1062	0.0	17.3822	505.0	1062.00
poi-30-1	1.0	0.67	13.0	1	85.0	463	0.0	18.9136	564.0	463.00
poi-30-1	1.0	0.67	13.0	3	171.0	1062	0.0	22.6388	853.0	1062.00
poi-30-1	1.0	0.67	13.0	2	85.0	463	0.0	33.8029	631.0	463.00
poi-30-1	1.0	0.67	13.0	3	85.0	463	0.0	60.0898	2651.0	463.00
poi-30-1	1.0	1.0	13.0	1	85.0	494	0.0	59.2418	2865.0	494.00
poi-30-1	1.0	1.0	13.0	1	171.0	1110	0.0	44.0213	2485.0	1110.00
poi-30-1	1.0	1.0	13.0	2	85.0	500	0.0	48.3420	2849.0	500.00
poi-30-1	1.0	1.0	13.0	2	171.0	1110	0.0	49.1040	3323.0	1110.00
poi-30-1	1.0	1.0	13.0	3	85.0	540	0.0	93.7569	5688.0	540.00
poi-30-1	1.0	1.0	13.0	3	171.0	1110	0.0	99.3883	7075.0	1110.00
poi-30-1	1.0	0.67	26.0	1	85.0	507	0.0	453.0910	10002.0	507.00
poi-30-1	1.0	0.67	26.0	2	85.0	564	0.0	1141.3488	17988.0	564.00
poi-30-1	1.0	1.0	26.0	1	85.0	572	0.0	1318.6733	31273.0	572.00
poi-30-1	1.0	0.67	26.0	1	171.0	1107	0.0	1650.1681	17523.0	1107.00
poi-30-1	1.0	0.67	26.0	3	85.0	568	0.0	2593.8046	38715.0	568.00
poi-30-1	1.0	1.33	13.0	1	85.0	568	0.0	53.1468	1485.0	568.00
poi-30-1	1.0	1.33	13.0	1	171.0	1220	0.0	52.3087	3494.0	1220.00
poi-30-1	1.0	1.33	13.0	2	85.0	588	0.0	46.8247	2153.0	588.00
poi-30-1	1.0	1.0	26.0	3	85.0	677	0.0	1257.8965	10853.0	677.00
poi-30-1	1.0	1.33	13.0	2	171.0	1239	0.0	104.7480	4808.0	1239.00
poi-30-1	1.0	1.0	26.0	2	85.0	677	0.0	2429.3406	31215.0	677.00
poi-30-1	1.0	1.33	13.0	3	85.0	619	0.0	99.2658	4773.0	619.00
poi-30-1	1.0	1.33	13.0	3	171.0	1253	0.0	170.4828	7583.0	1253.00
poi-30-1	1.0	0.67	26.0	3	171.0	0	0.32247557003257327	3617.9797	31834.0	1218.00
poi-30-1	1.0	0.67	26.0	2	171.0	0	0.12417685794920037	3628.2393	27116.0	1195.00
poi-30-1	1.0	1.0	26.0	1	171.0	0	0.0922165820642978	3600.8827	36507.0	1291.00
poi-30-1	1.0	1.33	26.0	1	85.0	669	0.0	1241.6006	30385.0	669.00
poi-30-1	2.0	0.67	13.0	1	85.0	486	0.0	8.3338	472.0	486.00
poi-30-1	2.0	0.67	13.0	1	171.0	1071	0.0	4.3971	39.0	1071.00
poi-30-1	2.0	0.67	13.0	2	85.0	486	0.0	9.5702	467.0	486.00
poi-30-1	2.0	0.67	13.0	2	171.0	1073	0.0	8.6440	148.0	1073.00
poi-30-1	2.0	0.67	13.0	3	85.0	486	0.0	38.4249	1573.0	486.00
poi-30-1	2.0	0.67	13.0	3	171.0	1073	0.0	13.6754	100.0	1073.00
poi-30-1	2.0	0.67	26.0	1	85.0	590	0.0	21.5568	298.0	590.00
poi-30-1	2.0	0.67	26.0	1	171.0	1204	0.0	46.4424	1110.0	1204.00
poi-30-1	2.0	0.67	26.0	2	85.0	619	0.0	64.5195	598.0	619.00
