name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-4	1.0	1.0	23.0	1	91.0	0	0.22641509433962265	3601.2678	92884.0	1105.0
poi-30-4	1.0	1.0	23.0	1	183.0	0	0.09624796084800522	3601.4746	193622.0	1343.9999999996544
poi-30-4	1.0	1.0	23.0	2	183.0	0	0.08015564202240691	3600.7918	54060.0	1387.9999999987929
poi-30-4	1.0	1.0	23.0	2	91.0	0	0.08440913604766634	3603.6098	130033.0	1092.0
poi-30-4	1.0	1.33	11.0	1	91.0	911.0	0.0	159.4671	17038.0	911.0
poi-30-4	1.0	1.33	11.0	1	183.0	1401.0	0.0	285.0713	45218.0	1401.0
poi-30-4	1.0	1.33	11.0	2	91.0	937.0	0.0	199.0088	20569.0	937.0
poi-30-4	1.0	1.33	11.0	2	183.0	1425.0	0.0	212.7346	23533.0	1425.0
poi-30-4	1.0	1.33	11.0	3	91.0	937.0	0.0	241.3459	23824.0	937.0
poi-30-4	1.0	1.33	11.0	3	183.0	1427.0	0.0	264.3817	16801.0	1427.0
poi-30-4	1.0	1.0	23.0	3	183.0	0	0.06933744221876872	3601.9001	63059.0	1387.9999999999618
poi-30-4	1.0	1.0	23.0	3	91.0	0	0.07374631268436578	3602.6973	156930.0	1092.0
poi-30-4	1.0	1.33	23.0	1	91.0	0	0.2816764132553604	3601.8182	358504.0	1314.9999999999998
poi-30-4	1.0	1.33	23.0	1	183.0	0	0.07539410555174778	3602.1011	294965.0	1569.0
poi-30-4	1.0	1.33	23.0	2	91.0	0	0.17751479289940827	3600.2301	51340.0	1393.0
poi-30-4	1.0	1.33	23.0	2	183.0	0	0.07332900713822194	3600.8057	109780.0	1654.0
poi-30-4	2.0	0.67	11.0	1	183.0	1215.0	0.0	38.6042	3301.0	1215.0
poi-30-4	2.0	0.67	11.0	1	91.0	810.0	0.0	64.4388	5605.0	810.0
poi-30-4	2.0	0.67	11.0	2	183.0	1215.0	0.0	38.2325	1063.0	1215.0
poi-30-4	2.0	0.67	11.0	2	91.0	813.0	0.0	83.3212	8835.0	813.0
poi-30-4	2.0	0.67	11.0	3	183.0	1215.0	0.0	46.2895	1775.0	1215.0
poi-30-4	2.0	0.67	11.0	3	91.0	813.0	0.0	89.7933	6458.0	813.0
poi-30-4	2.0	0.67	23.0	1	183.0	1217.0	0.0	68.7367	3773.0	1217.0
poi-30-4	2.0	0.67	23.0	1	91.0	977.0	0.0	92.0338	5453.0	977.0
poi-30-4	2.0	0.67	23.0	2	91.0	978.0	0.0	71.5854	868.0	978.0
poi-30-4	2.0	0.67	23.0	2	183.0	1219.0	0.0	85.1726	2783.0	1219.0
poi-30-4	2.0	0.67	23.0	3	91.0	978.0	0.0	107.3492	1062.0	978.0
poi-30-4	2.0	0.67	23.0	3	183.0	1219.0	0.0	102.4487	1207.0	1219.0
poi-30-4	2.0	1.0	11.0	1	91.0	863.0	0.0	98.6823	10853.0	863.0
poi-30-4	2.0	1.0	11.0	1	183.0	1226.0	0.0	91.9058	6766.0	1226.0
poi-30-4	1.0	1.33	23.0	3	91.0	0	0.07220496894409938	3602.5881	120616.0	1381.0
poi-30-4	2.0	1.0	11.0	2	183.0	1226.0	0.0	135.3997	11131.0	1226.0
poi-30-4	2.0	1.0	11.0	2	91.0	863.0	0.0	154.6806	8769.0	863.0
poi-30-4	2.0	1.0	11.0	3	91.0	863.0	0.0	148.3770	12027.0	863.0
poi-30-4	1.0	1.33	23.0	3	183.0	0	0.07731629392971245	3601.0378	49528.0	1686.0
poi-30-4	2.0	1.0	11.0	3	183.0	1226.0	0.0	135.4980	9163.0	1226.0
poi-30-4	2.0	1.0	23.0	2	91.0	1092.0	0.0	329.3425	12204.0	1092.0
poi-30-4	2.0	1.0	23.0	1	91.0	1092.0	0.0	467.3716	18584.0	1092.0
poi-30-4	2.0	1.0	23.0	3	91.0	1092.0	0.0	1035.6359	16357.0	1092.0
poi-30-4	2.0	1.33	11.0	1	91.0	953.0	0.0	162.8645	11965.0	953.0
poi-30-4	2.0	1.33	11.0	1	183.0	1413.0	0.0	192.8553	10330.0	1413.0
poi-30-4	2.0	1.33	11.0	2	91.0	976.0	0.0	154.1998	14663.0	976.0
poi-30-4	2.0	1.33	11.0	2	183.0	1431.0	0.0	174.9841	11155.0	1431.0
poi-30-4	2.0	1.33	11.0	3	91.0	980.0	0.0	142.1416	17724.0	980.0
poi-30-4	2.0	1.33	11.0	3	183.0	1437.0	0.0	149.7509	5779.0	1437.0
poi-30-4	2.0	1.33	23.0	1	91.0	1308.0	0.0	1184.9050	103870.0	1308.0
poi-30-4	2.0	1.0	23.0	1	183.0	0	0.023112480739599383	3608.5424	190717.0	1328.0
poi-30-4	2.0	1.0	23.0	2	183.0	0	0.042232277526395176	3603.8152	66912.0	1382.0
poi-30-4	2.0	1.0	23.0	3	183.0	0	0.03427719821100501	3606.2520	47182.0	1387.9999999991687
poi-30-4	2.0	1.33	23.0	2	91.0	1397.0	0.0	744.4438	15639.0	1397.0
poi-30-4	2.0	1.33	23.0	3	91.0	1403.0	0.0	681.0771	10415.0	1403.0
poi-30-5	1.0	0.67	13.0	1	82.0	422.0	0.0	244.0398	57521.0	422.0
poi-30-4	2.0	1.33	23.0	2	183.0	1641.0	0.0	2485.6296	133408.0	1641.0
poi-30-5	1.0	0.67	13.0	2	82.0	441.0	0.0	323.8076	46493.0	441.0
poi-30-5	1.0	0.67	13.0	1	164.0	1206.0	0.0	2168.8571	599403.0	1206.0
poi-30-4	2.0	1.33	23.0	1	183.0	0	0.04169424222369292	3602.6443	267004.0	1574.0
poi-30-5	1.0	0.67	13.0	3	82.0	441.0	0.0	416.8673	55019.0	441.0
poi-30-4	2.0	1.33	23.0	3	183.0	0	0.024863553668890235	3603.1853	48156.0	1690.0
poi-30-5	1.0	0.67	26.0	1	82.0	454.0	0.0	586.3284	88186.0	454.0
poi-30-5	1.0	0.67	26.0	2	82.0	496.0	0.0	1609.4909	87809.0	496.0
poi-30-5	1.0	0.67	13.0	2	164.0	1206.0	0.0	3370.3546	674589.0	1206.0
poi-30-5	1.0	0.67	13.0	3	164.0	0	0.026533996683250415	3603.4383	456699.0	1238.0
poi-30-5	1.0	0.67	26.0	1	164.0	0	0.15759545085296506	3603.0196	455038.0	1425.0
poi-30-5	1.0	0.67	26.0	3	82.0	529.0	0.0	2039.4401	75638.0	529.0
poi-30-5	1.0	1.0	13.0	1	82.0	457.0	0.0	563.0764	82282.0	457.0
poi-30-5	1.0	1.0	13.0	2	82.0	494.0	0.0	582.2019	47881.0	494.0
poi-30-5	1.0	0.67	26.0	2	164.0	0	0.14423076923076922	3602.0157	223160.0	1428.0
poi-30-5	1.0	0.67	26.0	3	164.0	0	0.12951334379905807	3601.0690	63235.0	1439.0
poi-30-5	1.0	1.0	13.0	3	82.0	494.0	0.0	1217.5883	145865.0	494.0
poi-30-5	1.0	1.0	13.0	1	164.0	0	0.05901116427432217	3600.2126	536853.0	1328.0
poi-30-5	1.0	1.0	26.0	1	82.0	499.0	0.0	1137.4968	112094.0	499.0
poi-30-5	1.0	1.0	13.0	2	164.0	0	0.06140350877192982	3600.3195	516270.0	1331.0
poi-30-5	1.0	1.0	26.0	2	82.0	562.0	0.0	1111.0192	108433.0	562.0
poi-30-5	1.0	1.0	13.0	3	164.0	0	0.051834130781499205	3600.1467	807691.0	1319.0
poi-30-5	1.0	1.0	26.0	3	82.0	612.0	0.0	2142.2789	141318.0	612.0
poi-30-5	1.0	1.0	26.0	1	164.0	0	0.14296407185628693	3601.6669	643351.0	1526.9999999999993
poi-30-5	1.0	1.33	13.0	1	82.0	508.0	0.0	222.4695	115899.0	508.0
poi-30-5	1.0	1.33	13.0	2	82.0	569.0	0.0	107.2357	40862.0	569.0
poi-30-5	1.0	1.0	26.0	2	164.0	0	0.09305654974946216	3600.1834	538261.0	1526.9999999999986
poi-30-5	1.0	1.33	13.0	3	82.0	569.0	0.0	182.7712	47094.0	569.0
poi-30-5	1.0	1.33	13.0	2	164.0	1453.0	0.0	953.4057	388288.0	1453.0
poi-30-5	1.0	1.33	26.0	1	82.0	589.0	0.0	331.4557	95394.0	589.0
poi-30-5	1.0	1.33	13.0	1	164.0	1408.0	0.0	1872.8331	992649.0	1408.0
poi-30-5	1.0	1.33	13.0	3	164.0	1453.0	0.0	1329.0388	455023.0	1453.0
poi-30-5	1.0	1.0	26.0	3	164.0	0	0.07610993657505222	3600.2475	346623.0	1526.999999999999
poi-30-5	1.0	1.33	26.0	2	82.0	649.0	0.0	2501.2458	198068.0	649.0
poi-30-5	1.0	1.33	26.0	3	82.0	715.0	0.0	2153.5752	241983.0	715.0
poi-30-5	2.0	0.67	13.0	1	82.0	472.0	0.0	204.2329	84355.0	472.0
poi-30-5	1.0	1.33	26.0	1	164.0	0	0.22574257425742575	3600.6176	709752.0	1857.0
poi-30-5	2.0	0.67	13.0	2	82.0	487.0	0.0	494.3669	102406.0	487.0
poi-30-5	1.0	1.33	26.0	2	164.0	0	0.1223529411764706	3602.2745	259317.0	1908.0
poi-30-5	2.0	0.67	13.0	3	82.0	487.0	0.0	309.9695	41917.0	487.0
poi-30-5	2.0	0.67	13.0	1	164.0	1211.0	0.0	1568.2208	341209.0	1211.0
poi-30-5	2.0	0.67	26.0	1	82.0	500.0	0.0	554.4043	69549.0	500.0
poi-30-5	1.0	1.33	26.0	3	164.0	0	0.09491137793024586	3600.6168	51554.0	1915.0
poi-30-5	2.0	0.67	13.0	2	164.0	1211.0	0.0	2504.1828	584889.0	1211.0
poi-30-5	2.0	0.67	26.0	2	82.0	529.0	0.0	1087.9360	70706.0	529.0
poi-30-5	2.0	0.67	13.0	3	164.0	0	0.026424442609413706	3602.2915	671095.0	1243.0
poi-30-5	2.0	0.67	26.0	1	164.0	0	0.07013574660633484	3600.5174	469647.0	1419.0
poi-30-5	2.0	1.0	13.0	1	82.0	525.0	0.0	204.7478	54646.0	525.0
poi-30-5	2.0	0.67	26.0	2	164.0	0	0.04642593957258659	3604.4131	259931.0	1420.0
poi-30-5	2.0	1.0	13.0	2	82.0	562.0	0.0	305.1573	36777.0	562.0
poi-30-5	2.0	0.67	26.0	3	82.0	529.0	0.0	3294.1792	167721.0	529.0
poi-30-5	2.0	1.0	13.0	3	82.0	562.0	0.0	327.3404	46497.0	562.0
poi-30-5	2.0	0.67	26.0	3	164.0	0	0.03865791393143691	3601.3863	216896.0	1424.0
poi-30-5	2.0	1.0	13.0	1	164.0	0	0.03627760252365931	3602.7682	697809.0	1314.0
poi-30-5	2.0	1.0	26.0	1	82.0	575.0	0.0	1650.2456	231989.0	575.0
poi-30-5	2.0	1.0	13.0	2	164.0	0	0.04470588235294118	3602.9424	522307.0	1332.0
poi-30-5	2.0	1.0	13.0	3	164.0	0	0.051261829652996846	3600.4762	534869.0	1333.0
poi-30-5	2.0	1.0	26.0	2	82.0	612.0	0.0	1713.7049	103086.0	612.0
poi-30-5	2.0	1.0	26.0	1	164.0	0	0.05528680027643353	3603.1912	405558.0	1526.9999999999993
poi-30-5	2.0	1.33	13.0	1	82.0	594.0	0.0	245.7304	57292.0	594.0
poi-30-5	2.0	1.0	26.0	3	82.0	633.0	0.0	2712.3024	85242.0	633.0
poi-30-5	2.0	1.0	26.0	2	164.0	0	0.03948264125254796	3600.5065	246316.0	1526.999999999993
poi-30-5	2.0	1.33	13.0	2	82.0	633.0	0.0	315.0550	35723.0	633.0
poi-30-5	2.0	1.33	13.0	3	82.0	633.0	0.0	324.6622	45160.0	633.0
poi-30-5	2.0	1.33	13.0	2	164.0	1472.0	0.0	775.1973	157658.0	1472.0
poi-30-5	2.0	1.0	26.0	3	164.0	0	0.03948264125255214	3601.7848	156808.0	1526.999999999999
poi-30-5	2.0	1.33	13.0	3	164.0	1472.0	0.0	909.7573	155589.0	1472.0
poi-30-5	2.0	1.33	26.0	1	82.0	672.0	0.0	683.8787	90107.0	672.0
poi-30-5	2.0	1.33	13.0	1	164.0	1414.0	0.0	3133.1206	843523.0	1414.0
poi-30-5	2.0	1.33	26.0	2	82.0	742.0	0.0	2016.8303	181451.0	742.0
poi-30-5	2.0	1.33	26.0	1	164.0	0	0.08744131455399061	3600.2673	406213.0	1853.0
poi-30-5	2.0	1.33	26.0	2	164.0	0	0.05292171995589857	3601.1404	158501.0	1910.0
poi-30-5	2.0	1.33	26.0	3	82.0	0	1.0039421813403417	3600.2791	50362.0	1525.0
poi-30-5	2.0	1.33	26.0	3	164.0	0	0.011111111111111112	3600.5833	125133.0	1911.0
