name	alpha	beta	L	m	T	OBJ	GAP	CPU	Nodes	obj_bound
poi-30-1	1.0	0.67	13.0	1	85.0	463.0	0.0	137.2031	29601.0	463.0
poi-30-1	1.0	0.67	13.0	1	171.0	1062.0	0.0	1265.0119	384453.0	1062.0
poi-30-1	1.0	0.67	13.0	2	85.0	463.0	0.0	200.7607	29640.0	463.0
poi-30-1	1.0	0.67	13.0	2	171.0	1062.0	0.0	1844.8495	364710.0	1062.0
poi-30-1	1.0	0.67	13.0	3	85.0	463.0	0.0	225.2027	21845.0	463.0
poi-30-1	1.0	0.67	13.0	3	171.0	1062.0	0.0	2757.0505	437534.0	1062.0
poi-30-1	1.0	0.67	26.0	1	85.0	507.0	0.0	1212.1193	232284.0	507.0
poi-30-1	1.0	0.67	26.0	1	171.0	0	0.18232044198895028	3602.0598	359780.0	1284.0
poi-30-1	1.0	0.67	26.0	2	85.0	564.0	0.0	1176.2368	142697.0	564.0
poi-30-1	1.0	0.67	26.0	2	171.0	0	0.23724007561436672	3600.6460	148038.0	1309.0
poi-30-1	1.0	0.67	26.0	3	85.0	568.0	0.0	2740.8601	262930.0	568.0
poi-30-1	1.0	0.67	26.0	3	171.0	0	0.1796028880866426	3600.9891	79499.0	1307.0
poi-30-1	1.0	1.0	13.0	1	85.0	494.0	0.0	238.2614	44410.0	494.0
poi-30-1	1.0	1.0	13.0	1	171.0	0	0.08142726440988106	3602.5107	852816.0	1182.0
poi-30-1	1.0	1.0	13.0	2	85.0	500.0	0.0	209.0843	21034.0	500.0
poi-30-1	1.0	1.0	13.0	2	171.0	0	0.11937557392102846	3601.4800	532759.0	1219.0
poi-30-1	1.0	1.0	13.0	3	85.0	540.0	0.0	278.4175	20142.0	540.0
poi-30-1	1.0	1.0	13.0	3	171.0	0	0.10835629017447199	3601.6750	695837.0	1207.0
poi-30-1	1.0	1.0	26.0	1	85.0	572.0	0.0	2054.0792	477105.0	572.0
poi-30-1	1.0	1.0	26.0	1	171.0	0	0.28809106830122055	3600.7892	292457.0	1470.9999999999939
poi-30-1	1.0	1.0	26.0	2	85.0	677.0	0.0	1641.6525	149571.0	677.0
poi-30-1	1.0	1.0	26.0	2	171.0	0	0.23096234309593272	3600.6047	156185.0	1470.9999999996396
poi-30-1	1.0	1.0	26.0	3	85.0	677.0	0.0	1686.2960	69305.0	677.0
poi-30-1	1.0	1.0	26.0	3	171.0	0	0.1474258970358809	3601.6037	109676.0	1470.9999999999993
poi-30-1	1.0	1.33	13.0	1	85.0	568.0	0.0	206.9720	45899.0	568.0
poi-30-1	1.0	1.33	13.0	1	171.0	1220.0	0.0	3360.2323	544515.0	1220.0
poi-30-1	1.0	1.33	13.0	2	85.0	588.0	0.0	299.7151	41295.0	588.0
poi-30-1	1.0	1.33	13.0	2	171.0	0	0.11064891846921797	3600.2848	444896.0	1335.0
poi-30-1	1.0	1.33	13.0	3	85.0	619.0	0.0	383.5677	41729.0	619.0
poi-30-1	1.0	1.33	13.0	3	171.0	0	0.06500802568218299	3601.3351	466612.0	1327.0
poi-30-1	1.0	1.33	26.0	1	85.0	669.0	0.0	2675.2141	506980.0	669.0
poi-30-1	1.0	1.33	26.0	1	171.0	0	0.25493060628195763	3602.2598	371153.0	1718.0
poi-30-1	1.0	1.33	26.0	2	85.0	0	0.018050541516245352	3600.1382	571686.0	845.9999999999999
poi-30-1	1.0	1.33	26.0	2	171.0	0	0.2235054347826087	3600.6272	131718.0	1801.0
