name	alpha	beta	L	m	T
poi-50-1	2	1	25	2	217
poi-50-1	2	0.67	25	2	217
poi-50-1	1	1.34	12	3	108
poi-50-1	1	1.34	25	1	108
poi-50-2	1	1	12	1	112
poi-50-2	1	1.34	12	3	112
poi-50-2	1	0.67	12	1	225
poi-50-2	1	0.67	12	2	225
poi-50-3	2	1.34	26	3	109
poi-50-3	1	1	26	1	218
poi-50-3	2	1	13	2	109
poi-50-3	1	1	26	1	109
poi-50-4	1	1	13	1	216
poi-50-4	1	0.67	27	2	216
poi-50-4	1	1.34	13	1	216
poi-50-4	2	1	27	1	216
poi-50-5	1	1.34	23	3	222
poi-50-5	1	1	23	3	111
poi-50-5	1	0.67	11	3	111
poi-50-5	1	1.34	23	3	111
c1-50-1	2	0.67	13	3	162
c1-50-1	2	1.33	6	2	81
c1-50-1	1	0.67	13	3	81
c1-50-1	2	0.67	6	1	162
c1-50-2	1	1.33	12	1	75
c1-50-2	1	1	6	3	75
c1-50-2	2	1.33	12	2	151
c1-50-2	1	0.67	12	1	75
c1-50-3	1	1.33	13	3	124
c1-50-3	1	0.67	6	3	62
c1-50-3	1	1.33	6	3	62
c1-50-3	1	1	6	1	124
c1-50-4	1	1	6	2	76
c1-50-4	1	0.67	6	3	76
c1-50-4	1	0.67	12	2	76
c1-50-4	1	1.33	6	3	153
c1-50-5	2	1.33	13	3	137
c1-50-5	2	1	6	2	68
c1-50-5	2	1.33	13	1	137
c1-50-5	2	1.33	6	1	68
