InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-10-1	1	0.67	15	1	59	201	0.0229553	0	0
poi-10-1	1	0.67	15	1	118	295	0.0403568	0	0
poi-10-1	1	0.67	15	2	59	201	0.0235834	0	0
poi-10-1	1	0.67	15	2	118	295	0.0412153	0	0
poi-10-1	1	0.67	15	3	59	201	0.0241251	0	0
poi-10-1	1	0.67	15	3	118	295	0.0422972	0	0
poi-10-1	1	0.67	30	1	59	201	0.0252977	0	0
poi-10-1	1	0.67	30	1	118	295	0.0527874	0	0
poi-10-1	1	0.67	30	2	59	201	0.0258035	0	0
poi-10-1	1	0.67	30	2	118	295	0.0557929	0	0
poi-10-1	1	0.67	30	3	59	201	0.0269163	0	0
poi-10-1	1	0.67	30	3	118	295	0.0588159	0	0
poi-10-1	1	1	15	1	59	201	0.0318582	0	0
poi-10-1	1	1	15	1	118	295	0.068016	0	0
poi-10-1	1	1	15	2	59	201	0.0333911	0	0
poi-10-1	1	1	15	2	118	295	0.0694744	0	0
poi-10-1	1	1	15	3	59	201	0.034824	0	0
poi-10-1	1	1	15	3	118	295	0.0714537	0	0
poi-10-1	1	1	30	1	59	201	0.0350753	0	0
poi-10-1	1	1	30	1	118	295	0.0707784	0	0
poi-10-1	1	1	30	2	59	201	0.0390681	0	0
poi-10-1	1	1	30	2	118	295	0.0768055	0	0
poi-10-1	1	1	30	3	59	201	0.0426369	0	0
poi-10-1	1	1	30	3	118	295	0.0826159	0	0
poi-10-1	1	1.33	15	1	59	233	0.0302113	0	0
poi-10-1	1	1.33	15	1	118	327	0.0637779	0	0
poi-10-1	1	1.33	15	2	59	233	0.0315532	0	0
poi-10-1	1	1.33	15	2	118	327	0.0654593	0	0
poi-10-1	1	1.33	15	3	59	233	0.0327668	0	0
poi-10-1	1	1.33	15	3	118	327	0.0666359	0	0
poi-10-1	1	1.33	30	1	59	233	0.0346789	0	0
poi-10-1	1	1.33	30	1	118	347	0.0654615	2	3.29E-05
poi-10-1	1	1.33	30	2	59	233	0.038467	0	0
poi-10-1	1	1.33	30	2	118	347	0.0702186	2	3.3E-05
poi-10-1	1	1.33	30	3	59	233	0.0418318	0	0
poi-10-1	1	1.33	30	3	118	347	0.0753614	1	1.71E-05
poi-10-1	2	0.67	15	1	59	201	0.0229472	0	0
poi-10-1	2	0.67	15	1	118	295	0.040446	0	0
poi-10-1	2	0.67	15	2	59	201	0.0234517	0	0
poi-10-1	2	0.67	15	2	118	295	0.0413701	0	0
poi-10-1	2	0.67	15	3	59	201	0.0242098	0	0
poi-10-1	2	0.67	15	3	118	295	0.04211	0	0
poi-10-1	2	0.67	30	1	59	201	0.024875	0	0
poi-10-1	2	0.67	30	1	118	295	0.0527087	0	0
poi-10-1	2	0.67	30	2	59	201	0.0260169	0	0
poi-10-1	2	0.67	30	2	118	295	0.0558469	0	0
poi-10-1	2	0.67	30	3	59	201	0.0268491	0	0
poi-10-1	2	0.67	30	3	118	295	0.0590597	0	0
poi-10-1	2	1	15	1	59	201	0.030294	0	0
poi-10-1	2	1	15	1	118	295	0.0677511	0	0
poi-10-1	2	1	15	2	59	201	0.0320252	0	0
poi-10-1	2	1	15	2	118	295	0.069706	0	0
poi-10-1	2	1	15	3	59	201	0.0331612	0	0
poi-10-1	2	1	15	3	118	295	0.0712081	0	0
poi-10-1	2	1	30	1	59	201	0.0353202	0	0
poi-10-1	2	1	30	1	118	295	0.0710091	0	0
poi-10-1	2	1	30	2	59	201	0.0390125	0	0
poi-10-1	2	1	30	2	118	295	0.0773428	0	0
poi-10-1	2	1	30	3	59	201	0.0425358	0	0
poi-10-1	2	1	30	3	118	295	0.0835364	0	0
poi-10-1	2	1.33	15	1	59	233	0.0301498	0	0
poi-10-1	2	1.33	15	1	118	327	0.063239	0	0
poi-10-1	2	1.33	15	2	59	233	0.0316022	0	0
poi-10-1	2	1.33	15	2	118	327	0.065033	0	0
poi-10-1	2	1.33	15	3	59	233	0.0329523	0	0
poi-10-1	2	1.33	15	3	118	327	0.0664057	0	0
poi-10-1	2	1.33	30	1	59	233	0.0349383	0	0
poi-10-1	2	1.33	30	1	118	347	0.0651194	1	1.77E-05
poi-10-1	2	1.33	30	2	59	233	0.0384795	0	0
poi-10-1	2	1.33	30	2	118	347	0.0699884	2	3.34E-05
poi-10-1	2	1.33	30	3	59	233	0.0415269	0	0
poi-10-1	2	1.33	30	3	118	347	0.0749296	1	1.72E-05
poi-10-2	1	0.67	13	1	58	76	0.0222468	0	0
poi-10-2	1	0.67	13	1	116	296	0.0354711	7	5.41E-05
poi-10-2	1	0.67	13	2	58	76	0.0227838	0	0
poi-10-2	1	0.67	13	2	116	296	0.0359913	1	8.3E-06
poi-10-2	1	0.67	13	3	58	76	0.0232666	0	0
poi-10-2	1	0.67	13	3	116	296	0.0364421	11	8.03E-05
poi-10-2	1	0.67	27	1	58	76	0.0271571	0	0
poi-10-2	1	0.67	27	1	116	296	0.0462254	6	6.14E-05
poi-10-2	1	0.67	27	2	58	76	0.0282587	0	0
poi-10-2	1	0.67	27	2	116	296	0.0491477	39	0.0003556
poi-10-2	1	0.67	27	3	58	76	0.0294655	0	0
poi-10-2	1	0.67	27	3	116	296	0.0509637	10	0.0001239
poi-10-2	1	1	13	1	58	76	0.0222875	0	0
poi-10-2	1	1	13	1	116	296	0.0593235	7	8.98E-05
poi-10-2	1	1	13	2	58	76	0.0229195	0	0
poi-10-2	1	1	13	2	116	296	0.0602814	10	0.0001211
poi-10-2	1	1	13	3	58	76	0.0234214	0	0
poi-10-2	1	1	13	3	116	296	0.0613356	13	0.0001585
poi-10-2	1	1	27	1	58	76	0.0270162	0	0
poi-10-2	1	1	27	1	116	296	0.0705817	5	8.39E-05
poi-10-2	1	1	27	2	58	76	0.0284438	0	0
poi-10-2	1	1	27	2	116	296	0.0788161	1	2.29E-05
poi-10-2	1	1	27	3	58	76	0.0294777	0	0
poi-10-2	1	1	27	3	116	296	0.0836859	1	2.35E-05
poi-10-2	1	1.33	13	1	58	76	0.0221531	0	0
poi-10-2	1	1.33	13	1	116	313	0.0594469	2	3.22E-05
poi-10-2	1	1.33	13	2	58	76	0.0227725	0	0
poi-10-2	1	1.33	13	2	116	313	0.0607975	14	0.0002219
poi-10-2	1	1.33	13	3	58	76	0.0234098	0	0
poi-10-2	1	1.33	13	3	116	313	0.0615228	7	8.83E-05
poi-10-2	1	1.33	27	1	58	76	0.0271049	0	0
poi-10-2	1	1.33	27	1	116	343	0.0715507	15	0.0002876
poi-10-2	1	1.33	27	2	58	76	0.0281097	0	0
poi-10-2	1	1.33	27	2	116	345	0.0819811	10	0.0002428
poi-10-2	1	1.33	27	3	58	76	0.0295431	0	0
poi-10-2	1	1.33	27	3	116	345	0.0853926	2	4.24E-05
poi-10-2	2	0.67	13	1	58	76	0.0222212	0	0
poi-10-2	2	0.67	13	1	116	296	0.0354418	2	1.58E-05
poi-10-2	2	0.67	13	2	58	76	0.0227416	0	0
poi-10-2	2	0.67	13	2	116	296	0.0359302	10	7.11E-05
poi-10-2	2	0.67	13	3	58	76	0.0234716	0	0
poi-10-2	2	0.67	13	3	116	296	0.036603	2	1.57E-05
poi-10-2	2	0.67	27	1	58	76	0.0271222	0	0
poi-10-2	2	0.67	27	1	116	296	0.0470833	3	2.63E-05
poi-10-2	2	0.67	27	2	58	76	0.0283498	0	0
poi-10-2	2	0.67	27	2	116	296	0.0494561	3	4.11E-05
poi-10-2	2	0.67	27	3	58	76	0.0293821	0	0
poi-10-2	2	0.67	27	3	116	296	0.0505071	7	5.92E-05
poi-10-2	2	1	13	1	58	76	0.0221685	0	0
poi-10-2	2	1	13	1	116	296	0.0596721	30	0.0003539
poi-10-2	2	1	13	2	58	76	0.0225887	0	0
poi-10-2	2	1	13	2	116	296	0.0605779	6	7.53E-05
poi-10-2	2	1	13	3	58	76	0.0233198	0	0
poi-10-2	2	1	13	3	116	296	0.0618754	13	0.0001623
poi-10-2	2	1	27	1	58	76	0.0269603	0	0
poi-10-2	2	1	27	1	116	296	0.0663237	5	7.74E-05
poi-10-2	2	1	27	2	58	76	0.028523	0	0
poi-10-2	2	1	27	2	116	296	0.0734031	2	4.17E-05
poi-10-2	2	1	27	3	58	76	0.0294534	0	0
poi-10-2	2	1	27	3	116	296	0.0781672	6	0.0001043
poi-10-2	2	1.33	13	1	58	76	0.0224522	0	0
poi-10-2	2	1.33	13	1	116	313	0.0596302	1	2.01E-05
poi-10-2	2	1.33	13	2	58	76	0.0228748	0	0
poi-10-2	2	1.33	13	2	116	313	0.060676	19	0.0002363
poi-10-2	2	1.33	13	3	58	76	0.0235254	0	0
