InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-10-1	1	0.67	15	1	59	201.000000	0.032533	0.000000	0.000000
poi-10-1	1	0.67	15	1	118	295.000000	0.052683	0.000000	0.000000
poi-10-1	1	0.67	15	2	59	201.000000	0.032897	0.000000	0.000000
poi-10-1	1	0.67	15	2	118	295.000000	0.053768	0.000000	0.000000
poi-10-1	1	0.67	15	3	59	201.000000	0.026398	0.000000	0.000000
poi-10-1	1	0.67	15	3	118	295.000000	0.042785	0.000000	0.000000
poi-10-1	1	0.67	30	1	59	201.000000	0.025367	0.000000	0.000000
poi-10-1	1	0.67	30	1	118	295.000000	0.052852	0.000000	0.000000
poi-10-1	1	0.67	30	2	59	201.000000	0.026269	0.000000	0.000000
poi-10-1	1	0.67	30	2	118	295.000000	0.055629	0.000000	0.000000
poi-10-1	1	0.67	30	3	59	201.000000	0.027227	0.000000	0.000000
poi-10-1	1	0.67	30	3	118	295.000000	0.058764	0.000000	0.000000
poi-10-1	1	1	15	1	59	201.000000	0.032730	0.000000	0.000000
poi-10-1	1	1	15	1	118	295.000000	0.068607	0.000000	0.000000
poi-10-1	1	1	15	2	59	201.000000	0.034183	0.000000	0.000000
poi-10-1	1	1	15	2	118	295.000000	0.070348	0.000000	0.000000
poi-10-1	1	1	15	3	59	201.000000	0.035623	0.000000	0.000000
poi-10-1	1	1	15	3	118	295.000000	0.071867	0.000000	0.000000
poi-10-1	1	1	30	1	59	201.000000	0.035691	0.000000	0.000000
poi-10-1	1	1	30	1	118	295.000000	0.070896	0.000000	0.000000
poi-10-1	1	1	30	2	59	201.000000	0.039431	0.000000	0.000000
poi-10-1	1	1	30	2	118	295.000000	0.077152	0.000000	0.000000
poi-10-1	1	1	30	3	59	201.000000	0.042968	0.000000	0.000000
poi-10-1	1	1	30	3	118	295.000000	0.083168	0.000000	0.000000
poi-10-1	1	1.33	15	1	59	233.000000	0.030534	0.000000	0.000000
poi-10-1	1	1.33	15	1	118	327.000000	0.063272	0.000000	0.000000
poi-10-1	1	1.33	15	2	59	233.000000	0.031788	0.000000	0.000000
poi-10-1	1	1.33	15	2	118	327.000000	0.064898	0.000000	0.000000
poi-10-1	1	1.33	15	3	59	233.000000	0.032971	0.000000	0.000000
poi-10-1	1	1.33	15	3	118	327.000000	0.066350	0.000000	0.000000
poi-10-1	1	1.33	30	1	59	233.000000	0.035130	0.000000	0.000000
poi-10-1	1	1.33	30	1	118	347.000000	0.065476	6.600000	0.000094
poi-10-1	1	1.33	30	2	59	233.000000	0.038751	0.000000	0.000000
poi-10-1	1	1.33	30	2	118	347.000000	0.070243	3.600000	0.000072
poi-10-1	1	1.33	30	3	59	233.000000	0.042356	0.000000	0.000000
poi-10-1	1	1.33	30	3	118	347.000000	0.075437	3.300000	0.000054
poi-10-1	2	0.67	15	1	59	201.000000	0.023180	0.000000	0.000000
poi-10-1	2	0.67	15	1	118	295.000000	0.040117	0.000000	0.000000
poi-10-1	2	0.67	15	2	59	201.000000	0.024250	0.000000	0.000000
poi-10-1	2	0.67	15	2	118	295.000000	0.041038	0.000000	0.000000
poi-10-1	2	0.67	15	3	59	201.000000	0.024466	0.000000	0.000000
poi-10-1	2	0.67	15	3	118	295.000000	0.041971	0.000000	0.000000
poi-10-1	2	0.67	30	1	59	201.000000	0.025292	0.000000	0.000000
poi-10-1	2	0.67	30	1	118	295.000000	0.052613	0.000000	0.000000
poi-10-1	2	0.67	30	2	59	201.000000	0.026258	0.000000	0.000000
poi-10-1	2	0.67	30	2	118	295.000000	0.055543	0.000000	0.000000
poi-10-1	2	0.67	30	3	59	201.000000	0.027162	0.000000	0.000000
