InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
r-75-1	1	0.67	12	1	131	1856	1.9242798	108	0.0837222
r-75-1	1	0.67	12	1	263	3207	3.5680849	129	0.056403
r-75-1	1	0.67	12	2	131	1907	1.6916925	71	0.0162767
r-75-1	1	0.67	12	2	263	3223	3.7170279	273	0.1644493
r-75-1	1	0.67	12	3	131	1902	1.7805614	272	0.0697684
r-75-1	1	0.67	12	3	263	3424	3.7036957	254	0.1323133
r-75-1	1	0.67	24	1	131	1925	1.7091075	108	0.0315654
r-75-1	1	0.67	24	1	263	3288	4.388205	48	0.0241388
r-75-1	1	0.67	24	2	131	1949	4.7308831	6465	2.6316497
r-75-1	1	0.67	24	2	263	3366	5.226415	14	0.0105495
r-75-1	1	0.67	24	3	131	2133	2.5564116	143	0.0530143
r-75-1	1	0.67	24	3	263	3427	6.0393654	23	0.0166675
r-75-1	1	1	12	1	131	1965	1.9887314	2743	0.7090952
r-75-1	1	1	12	1	263	3331	5.4219732	2768	1.88349
r-75-1	1	1	12	2	131	2102	1.5522331	1577	0.3522604
r-75-1	1	1	12	2	263	3523	7.3910468	6731	4.1779686
r-75-1	1	1	12	3	131	2144	1.760546	2517	0.5716011
r-75-1	1	1	12	3	263	3554	4.5748719	2842	1.5908752
r-75-1	1	1	24	1	131	1996	1.4536132	788	0.181091
r-75-1	1	1	24	1	263	3336	3.2668978	0	0
r-75-1	1	1	24	2	131	2050	1.9226862	3304	0.7637558
r-75-1	1	1	24	2	263	3561	4.1647888	2353	1.3559754
r-75-1	1	1	24	3	131	2199	1.5976773	2407	0.5000701
r-75-1	1	1	24	3	263	3604	5.543179	5872	2.9690689
r-75-1	1	1.33	12	1	131	2194	1.850272	2375	0.5806343
r-75-1	1	1.33	12	1	263	3701	5.2263747	2700	1.8001172
r-75-1	1	1.33	12	2	131	2485	1.7193394	2414	0.5235124
r-75-1	1	1.33	12	2	263	3993	3.5096322	773	0.3602666
r-75-1	1	1.33	12	3	131	2607	1.4684939	1283	0.2781951
r-75-1	1	1.33	12	3	263	4153	5.3487858	4214	2.3911243
r-75-1	1	1.33	24	1	131	2086	1.3478619	314	0.0763548
r-75-1	1	1.33	24	1	263	3621	5.0578617	2680	1.7407476
r-75-1	1	1.33	24	2	131	2311	1.1557805	144	0.030474
r-75-1	1	1.33	24	2	263	4020	2.7905806	0	0
r-75-1	1	1.33	24	3	131	2709	1.8271975	3406	0.7209281
r-75-1	1	1.33	24	3	263	4269	3.2287338	1261	0.6139475
r-75-1	2	0.67	12	1	131	2059	2.1821554	2081	0.6231803
r-75-1	2	0.67	12	1	263	3325	5.1110896	3023	1.9000602
r-75-1	2	0.67	12	2	131	2136	1.8197632	422	0.1276977
r-75-1	2	0.67	12	2	263	3388	4.2962593	1590	0.9807189
r-75-1	2	0.67	12	3	131	2159	1.8130695	188	0.0537608
r-75-1	2	0.67	12	3	263	3457	4.0812931	1200	0.7334974
r-75-1	2	0.67	24	1	131	2139	2.0333957	510	0.1735034
r-75-1	2	0.67	24	1	263	3533	7.3600397	4103	3.2767996
r-75-1	2	0.67	24	2	131	2393	2.5532988	487	0.2036557
r-75-1	2	0.67	24	2	263	3589	4.8165906	25	0.018344
r-75-1	2	0.67	24	3	131	2465	2.8772244	39	0.0209946
r-75-1	2	0.67	24	3	263	3679	8.802249	3366	3.508836
r-75-1	2	1	12	1	131	2303	1.4164901	341	0.0685722
r-75-1	2	1	12	1	263	3687	4.312531	1314	0.8397123
r-75-1	2	1	12	2	131	2439	1.4692195	940	0.2188214
r-75-1	2	1	12	2	263	3757	3.0230525	39	0.0071104
r-75-1	2	1	12	3	131	2507	1.7840413	2402	0.5527528
r-75-1	2	1	12	3	263	3813	7.346398	8282	4.5327492
r-75-1	2	1	24	1	131	2297	1.4839074	510	0.1187141
r-75-1	2	1	24	1	263	3573	4.7110539	1713	1.1744937
r-75-1	2	1	24	2	131	2627	1.4608323	728	0.170054
r-75-1	2	1	24	2	263	3938	6.7225301	6023	3.5319012
r-75-1	2	1	24	3	131	3020	1.5915701	1410	0.3332223
r-75-1	2	1	24	3	263	3939	2.9746646	362	0.1101206
r-75-1	2	1.33	12	1	131	2690	1.4862414	563	0.1313422
r-75-1	2	1.33	12	1	263	4190	3.5909429	334	0.1741166
r-75-1	2	1.33	12	2	131	2890	1.2816876	56	0.0099267
r-75-1	2	1.33	12	2	263	4365	3.5403649	1140	0.5501506
r-75-1	2	1.33	12	3	131	2899	1.3405203	516	0.113794
r-75-1	2	1.33	12	3	263	4433	6.0575459	6050	3.2317558
r-75-1	2	1.33	24	1	131	2554	1.4971014	395	0.0990467
r-75-1	2	1.33	24	1	263	4124	4.8552013	1953	1.3009638
r-75-1	2	1.33	24	2	131	3063	1.8439386	2211	0.5438034
r-75-1	2	1.33	24	2	263	4646	4.6116916	2707	1.5065009
r-75-1	2	1.33	24	3	131	3655	2.9013403	6804	1.6710256
r-75-1	2	1.33	24	3	263	4846	3.6678094	1820	0.929553
r-75-2	1	0.67	12	1	127	1753	2.4633831	1255	0.4686011
r-75-2	1	0.67	12	1	254	3143	3.864614	261	0.1368974
r-75-2	1	0.67	12	2	127	1788	3.931725	3702	1.6398554
r-75-2	1	0.67	12	2	254	3183	4.3350387	548	0.3712361
r-75-2	1	0.67	12	3	127	1796	2.5844387	393	0.1697925
r-75-2	1	0.67	12	3	254	3147	4.2406753	358	0.2270797
r-75-2	1	0.67	24	1	127	1813	2.442031	55	0.0208935
r-75-2	1	0.67	24	1	254	3136	5.4599067	631	0.5707269
r-75-2	1	0.67	24	2	127	1830	4.580858	2493	1.5063078
r-75-2	1	0.67	24	2	254	3268	10.6399955	4278	4.87266
r-75-2	1	0.67	24	3	127	1876	4.2474357	1105	0.7437489
r-75-2	1	0.67	24	3	254	3276	6.6705382	72	0.0512423
r-75-2	1	1	12	1	127	1877	3.0224351	5283	1.5426118
r-75-2	1	1	12	1	254	3245	3.5972368	31	0.0102642
r-75-2	1	1	12	2	127	1904	1.7737118	1628	0.4261032
r-75-2	1	1	12	2	254	3371	4.3485506	1953	1.1820669
r-75-2	1	1	12	3	127	1975	2.2227293	3577	0.9102712
r-75-2	1	1	12	3	254	3462	3.28728	729	0.3558554
r-75-2	1	1	24	1	127	1813	2.7719025	4181	1.2415048
r-75-2	1	1	24	1	254	3169	3.7789157	446	0.2515653
r-75-2	1	1	24	2	127	1973	1.7799544	1478	0.3928625
r-75-2	1	1	24	2	254	3342	3.1746484	122	0.0463427
r-75-2	1	1	24	3	127	2025	1.3782898	194	0.0482788
r-75-2	1	1	24	3	254	3440	2.8583298	28	0.010874
r-75-2	1	1.33	12	1	127	2093	3.6199052	7696	2.2003954
r-75-2	1	1.33	12	1	254	3655	4.5239911	1757	1.1389959
r-75-2	1	1.33	12	2	127	2312	1.6277617	1313	0.3203098
r-75-2	1	1.33	12	2	254	3987	4.7275346	2851	1.7057717
r-75-2	1	1.33	12	3	127	2435	3.5660888	9391	2.3022426
r-75-2	1	1.33	12	3	254	4059	3.097789	659	0.3101778
r-75-2	1	1.33	24	1	127	2026	1.8655309	1452	0.4280943
r-75-2	1	1.33	24	1	254	3556	3.848086	888	0.5202715
r-75-2	1	1.33	24	2	127	2283	1.3966393	348	0.0883647
r-75-2	1	1.33	24	2	254	3893	3.6466991	1410	0.7748508
r-75-2	1	1.33	24	3	127	2416	1.292793	245	0.0563443
r-75-2	1	1.33	24	3	254	4152	3.8429278	2475	1.2547628
r-75-2	2	0.67	12	1	127	1933	3.2674915	4153	1.4669363
r-75-2	2	0.67	12	1	254	3258	3.3467095	409	0.2044695
r-75-2	2	0.67	12	2	127	2069	2.1511108	567	0.1928321
r-75-2	2	0.67	12	2	254	3271	4.2188011	1433	0.8908106
r-75-2	2	0.67	12	3	127	2044	2.1796317	337	0.1045758
r-75-2	2	0.67	12	3	254	3281	3.498074	245	0.121258
r-75-2	2	0.67	24	1	127	1900	3.131233	1870	0.8382574
r-75-2	2	0.67	24	1	254	3340	4.2080926	148	0.0846632
r-75-2	2	0.67	24	2	127	2095	3.45073	1163	0.6417226
r-75-2	2	0.67	24	2	254	3466	5.1871065	362	0.3104104
r-75-2	2	0.67	24	3	127	2208	5.3992112	3560	2.2030438
r-75-2	2	0.67	24	3	254	3546	10.7675442	4949	5.275462
r-75-2	2	1	12	1	127	2155	3.6124454	7253	2.1155983
r-75-2	2	1	12	1	254	3500	4.9841	2234	1.5310007
r-75-2	2	1	12	2	127	2387	1.3176859	112	0.019513
r-75-2	2	1	12	2	254	3555	3.2342282	591	0.2790073
r-75-2	2	1	12	3	127	2419	2.0073748	3172	0.7569996
r-75-2	2	1	12	3	254	3584	3.0470776	734	0.2941279
r-75-2	2	1	24	1	127	2028	1.9203172	1257	0.3861789
r-75-2	2	1	24	1	254	3538	4.1592658	1000	0.6175195
r-75-2	2	1	24	2	127	2440	2.6204946	4355	1.1877214
r-75-2	2	1	24	2	254	3862	6.4330362	5170	3.2370909
r-75-2	2	1	24	3	127	2673	1.7146379	1602	0.3962918
r-75-2	2	1	24	3	254	3883	3.0226217	339	0.1475441
