InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
r-75-1	1	0.67	12	1	131	1885	4.9670668	4154	2.4167897
r-75-1	1	0.67	12	1	263	3292	6.6789711	972	1.0375144
r-75-1	1	0.67	12	2	131	1963	4.0080406	2172	1.1784625
r-75-1	1	0.67	12	2	263	3302	7.2575335	1113	1.2836534
r-75-1	1	0.67	12	3	131	1945	3.876437	1692	0.9472656
r-75-1	1	0.67	12	3	263	3339	14.3484097	6861	8.2678545
r-75-1	1	0.67	24	1	131	1971	5.971181	3021	2.2347987
r-75-1	1	0.67	24	1	263	3418	12.9309528	1933	3.4167072
r-75-1	1	0.67	24	2	131	2047	5.0475749	50	0.0349025
r-75-1	1	0.67	24	2	263	3470	11.7198669	47	0.0639173
r-75-1	1	0.67	24	3	131	2158	5.8707879	91	0.0729323
r-75-1	1	0.67	24	3	263	3544	13.2650527	54	0.0740765
r-75-1	1	1	12	1	131	2009	2.8767716	1978	0.8043549
r-75-1	1	1	12	1	263	3369	15.0174398	9076	9.6180168
r-75-1	1	1	12	2	131	2161	4.0315596	6596	2.2723835
r-75-1	1	1	12	2	263	3509	4.7201481	655	0.4417388
r-75-1	1	1	12	3	131	2188	3.4604265	5658	1.8298164
r-75-1	1	1	12	3	263	3650	11.4274577	9678	7.4601099
r-75-1	1	1	24	1	131	2092	4.8378312	3665	2.0256438
r-75-1	1	1	24	1	263	3450	8.5692103	1297	1.6768419
r-75-1	1	1	24	2	131	2218	2.5449011	786	0.3210994
r-75-1	1	1	24	2	263	3675	7.2368471	2582	2.3876781
r-75-1	1	1	24	3	131	2378	2.1958056	365	0.1475991
r-75-1	1	1	24	3	263	3927	8.7855245	5287	4.3992903
r-75-1	1	1.33	12	1	131	2259	2.1192887	59	0.0188232
r-75-1	1	1.33	12	1	263	3879	5.7783469	468	0.4177569
r-75-1	1	1.33	12	2	131	2501	5.0294989	9564	3.2919724
r-75-1	1	1.33	12	2	263	4142	8.4075287	4949	4.0656989
r-75-1	1	1.33	12	3	131	2576	2.0442771	1381	0.3938705
r-75-1	1	1.33	12	3	263	4197	4.1059064	213	0.1063338
r-75-1	1	1.33	24	1	131	2376	3.3063096	819	0.423622
r-75-1	1	1.33	24	1	263	3960	9.4212912	1824	2.4042296
r-75-1	1	1.33	24	2	131	2723	4.1473805	4308	1.925101
r-75-1	1	1.33	24	2	263	4372	14.2440126	9631	9.3405323
r-75-1	1	1.33	24	3	131	2910	2.7817149	1684	0.6984471
r-75-1	1	1.33	24	3	263	4654	6.678913	2701	2.3059684
r-75-1	2	0.67	12	1	131	2059	2.6100428	251	0.1123398
