InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
r-75-1	1	0.67	12	1	131	1780	1.2539747	291	0.1485118
r-75-1	1	0.67	12	1	263	3104	3.5903688	3894	1.5615613
r-75-1	1	0.67	12	2	131	1827	1.3749349	4019	0.6100768
r-75-1	1	0.67	12	2	263	3098	1.9005241	404	0.1262155
r-75-1	1	0.67	12	3	131	1817	0.7623719	52	0.0060689
r-75-1	1	0.67	12	3	263	3159	1.8819165	633	0.1618975
r-75-1	1	0.67	24	1	131	1765	1.4083186	1974	0.3858742
r-75-1	1	0.67	24	1	263	3126	2.1734324	0	0
r-75-1	1	0.67	24	2	131	1830	1.2213186	1907	0.3288517
r-75-1	1	0.67	24	2	263	3204	1.7649761	0	0
r-75-1	1	0.67	24	3	131	1833	0.8474596	21	0.0035689
r-75-1	1	0.67	24	3	263	3306	1.5985799	0	0
r-75-1	1	1	12	1	131	1964	1.1284936	1720	0.2695739
r-75-1	1	1	12	1	263	3355	2.7986277	1988	0.7453554
r-75-1	1	1	12	2	131	2085	2.1047401	8861	1.3428141
r-75-1	1	1	12	2	263	3391	2.1427055	1013	0.3480336
r-75-1	1	1	12	3	131	2070	0.7478714	67	0.0073545
r-75-1	1	1	12	3	263	3439	2.7825392	2928	0.9921844
r-75-1	1	1	24	1	131	1901	1.056786	104	0.0211446
r-75-1	1	1	24	1	263	3336	2.2524451	0	0
r-75-1	1	1	24	2	131	2056	1.8184828	4920	0.9046073
r-75-1	1	1	24	2	263	3410	1.8404365	0	0
r-75-1	1	1	24	3	131	2266	0.928726	322	0.0533843
r-75-1	1	1	24	3	263	3587	2.0390481	1298	0.4116037
r-75-1	1	1.33	12	1	131	2106	0.8985226	263	0.0369812
r-75-1	1	1.33	12	1	263	3536	4.2209867	5186	2.1390411
r-75-1	1	1.33	12	2	131	2322	1.9465882	7561	1.1709188
r-75-1	1	1.33	12	2	263	3838	3.3986458	4336	1.5639882
r-75-1	1	1.33	12	3	131	2440	1.0318192	1897	0.2816394
r-75-1	1	1.33	12	3	263	3929	1.8325927	261	0.0652743
r-75-1	1	1.33	24	1	131	2048	1.0481159	63	0.0127839
r-75-1	1	1.33	24	1	263	3454	2.2588985	0	0
r-75-1	1	1.33	24	2	131	2416	1.3110667	2013	0.375335
r-75-1	1	1.33	24	2	263	4002	1.8481924	1	0.0001543
