InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-75-1	1	1	12	1	131	2023	4.1137863	4866	2.2814445	112997256	340685
r-75-1	1	1	12	1	263	3357	6.136592	662	0.8505135	149565233	387788
r-75-1	1	1	12	2	131	2139	5.3197041	9224	3.4960543	147842149	1202366
r-75-1	1	1	12	2	263	3506	8.2320359	2915	3.2249036	192998150	1272591
r-75-1	1	1	12	3	131	2165	4.2535606	5805	2.3882283	111110109	1398438
r-75-1	1	1	12	3	263	3681	9.6885737	4327	4.7607488	218966717	2364703
r-75-1	1	1	24	1	131	1986	1.9571373	1011	0.3466568	53108772	1277254
r-75-1	1	1	24	1	263	3456	4.7446848	0	0	107588215	2219649
r-75-1	1	1	24	2	131	2069	1.6998221	140	0.0467113	34840544	2700650
r-75-1	1	1	24	2	263	3587	5.6898319	838	0.8613156	95197633	6852301
r-75-1	1	1	24	3	131	2356	2.2118805	1185	0.4504327	33689936	5746870
r-75-1	1	1	24	3	263	3725	5.4707388	650	0.6379959	74255349	11428259
r-75-2	1	1	12	1	127	1926	4.8209427	5479	2.7838675	145296467	533453
r-75-2	1	1	12	1	254	3263	15.9390669	8664	10.6005754	391627368	938577
r-75-2	1	1	12	2	127	1981	7.7315229	13231	5.7333503	216317157	2307056
r-75-2	1	1	12	2	254	3359	13.4968268	8029	8.4749297	320046011	2615158
r-75-2	1	1	12	3	127	1964	2.7672514	1601	0.7580867	71949388	1387229
r-75-2	1	1	12	3	254	3407	6.8636342	1893	2.0011051	157572107	2267585
r-75-2	1	1	24	1	127	1867	2.4979478	1457	0.63137	68070181	1942197
r-75-2	1	1	24	1	254	3244	6.0401799	840	0.9916575	131852372	2830686
r-75-2	1	1	24	2	127	2001	2.8310884	2105	0.904211	56930056	5471347
r-75-2	1	1	24	2	254	3447	5.6617161	505	0.5459238	95180421	6751425
r-75-2	1	1	24	3	127	2156	3.9590733	4610	1.9174686	61063787	11425495
