InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-75-1	1	1	12	1	131	2027	5.8529669	753	1.0886982	91063573	3516813
r-75-1	1	1	12	1	263	3462	20.5959373	1944	5.7925325	220795839	13750585
r-75-1	1	1	12	2	131	2125	8.9401982	3874	3.9863296	120072922	14689511
r-75-1	1	1	12	2	263	3581	35.7417288	6984	20.5401631	322226750	63141454
r-75-1	1	1	12	3	131	2217	10.759267	5166	5.508158	126473672	26853369
r-75-1	1	1	12	3	263	3625	15.706261	70	0.183278	122771751	42761348
r-75-1	1	1	24	1	131	2123	13.6187915	3475	5.5771085	117960184	53729695
r-75-1	1	1	24	1	263	3579	41.1888521	2495	13.7598273	199628823	148115169
r-75-1	1	1	24	2	131	2335	28.7572556	6038	15.5569246	107278148	226567814
r-75-1	1	1	24	2	263	3881	92.7814873	5540	48.3790155	185867065	719469770
r-75-1	1	1	24	3	131	2528	19.1503602	625	2.0883635	40633503	181946801
r-75-1	1	1	24	3	263	3935	246.3988615	17232	190.7346776	283524823	-1947498230
r-75-2	1	1	12	1	127	1964	19.3623952	11527	13.57718	316014630	18592327
r-75-2	1	1	12	1	254	3386	45.8419812	9198	29.8054702	487142284	41439304
r-75-2	1	1	12	2	127	2014	12.4572055	5284	6.5025053	156223942	31029406
r-75-2	1	1	12	2	254	3401	16.7151083	257	0.8096642	140030916	40590270
r-75-2	1	1	12	3	127	2148	26.0173493	15647	19.7536503	274654517	94267303
r-75-2	1	1	12	3	254	3447	41.861548	7326	24.9635415	311945798	154284291
r-75-2	1	1	24	1	127	1938	13.2045606	1392	2.9952262	111372713	56754123
r-75-2	1	1	24	1	254	3455	76.9883455	7545	46.5158673	366425299	294695372
r-75-2	1	1	24	2	127	2175	38.7813036	6102	21.1385145	132520962	333508958
r-75-2	1	1	24	2	254	3643	107.7013779	5743	57.3162118	212512196	890194663
r-75-2	1	1	24	3	127	2312	50.537357	6042	27.8683577	97324232	514265895
r-75-2	1	1	24	3	254	3792	181.1985091	9465	117.7528865	202289957	1786325304
r-75-3	1	1	13	1	131	1881	8.4169744	4248	3.8204496	151333934	5699913
r-75-3	1	1	13	1	262	3325	31.8903958	5268	16.4101338	334236867	26506483
r-75-3	1	1	13	2	131	1980	11.5012241	7285	6.7995347	165725701	20196629
r-75-3	1	1	13	2	262	3441	46.6633916	9552	30.8254865	388598494	103326416
r-75-3	1	1	13	3	131	1999	6.5654857	1784	1.6743937	81594970	17239763
r-75-3	1	1	13	3	262	3466	30.886631	4222	14.3862126	224377108	102486330
r-75-3	1	1	26	1	131	1994	12.594853	3905	5.4528888	127115903	47364634
r-75-3	1	1	26	1	262	3426	34.7947902	811	4.7695223	159319791	136373135
r-75-3	1	1	26	2	131	2185	19.8207417	3940	8.7535803	88897277	151645923
r-75-3	1	1	26	2	262	3674	127.2303634	7922	78.3180065	238481972	1007855646
r-75-3	1	1	26	3	131	2476	27.1900192	4954	13.3183924	71769908	254272997
r-75-3	1	1	26	3	262	3760	147.4239582	6784	84.8893464	153821744	1427050713
r-75-4	1	1	12	1	133	1973	7.4254441	2664	2.6863032	130287608	5192431
r-75-4	1	1	12	1	266	3282	15.7801518	199	0.6131328	167314445	12341006
r-75-4	1	1	12	2	133	2001	8.4773423	3290	3.4551158	118933460	15404424
r-75-4	1	1	12	2	266	3430	40.6617004	7843	25.1045223	355310576	83650076
r-75-4	1	1	12	3	133	2111	16.3042041	10394	11.0544229	203788222	43882014
r-75-4	1	1	12	3	266	3501	25.750142	2783	9.5714266	198512463	80365590
r-75-4	1	1	24	1	133	2036	12.7136831	2510	4.2045664	111873358	51285049
r-75-4	1	1	24	1	266	3506	53.3716284	4024	23.8642994	253234549	202343690
r-75-4	1	1	24	2	133	2302	16.6675397	961	2.6484977	62240477	133617624
