InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest	InsertionTruckCount	InsertionSortieCount
r-75-1	1	1	12	1	131	2027	1.9870625	1463	0.6792756	57270637	210701
r-75-1	1	1	12	1	263	3314	8.0316335	6342	4.5923515	256919713	732245
r-75-1	1	1	12	2	131	2161	2.0083659	2901	0.75085	60445029	645592
r-75-1	1	1	12	2	263	3374	4.7134552	1846	1.3672478	136593198	1085525
r-75-1	1	1	12	3	131	2095	2.177115	3419	0.8999938	61295562	1123458
r-75-1	1	1	12	3	263	3474	5.567241	3005	2.1711271	153183318	2162462
r-75-1	1	1	24	1	131	2003	1.4443917	204	0.0596161	44570051	1111015
r-75-1	1	1	24	1	263	3456	3.5474445	0	0	100098422	2242757
r-75-1	1	1	24	2	131	2150	1.5798943	496	0.1491388	34940855	2935676
r-75-1	1	1	24	2	263	3539	3.591618	0	0	72366359	5736449
r-75-1	1	1	24	3	131	2272	1.6008686	179	0.0576376	26025625	4526136
r-75-1	1	1	24	3	263	3687	4.2653291	729	0.5537114	63089690	11747044
r-75-2	1	1	12	1	127	1830	1.8760772	1206	0.3968514	65233972	370019
r-75-2	1	1	12	1	254	3294	12.7360742	13154	9.2892013	416881445	1701352
r-75-2	1	1	12	2	127	1877	3.2035167	5791	1.7802872	96729231	1505764
r-75-2	1	1	12	2	254	3305	4.4055023	1485	1.0592433	126721308	1510101
r-75-2	1	1	12	3	127	1980	4.4796148	10307	3.0780196	125090410	3639255
r-75-2	1	1	12	3	254	3331	13.6508665	15290	10.3261556	374261843	8039423
r-75-2	1	1	24	1	127	1826	1.9562707	1094	0.3881993	61373564	1851765
r-75-2	1	1	24	1	254	3248	5.379183	2135	1.7141571	146667723	3569638
r-75-2	1	1	24	2	127	2024	1.834834	534	0.2000077	40589528	4380751
r-75-2	1	1	24	2	254	3370	4.3172588	857	0.6506714	85236631	7776561
r-75-2	1	1	24	3	127	2106	2.7215697	2466	0.9585142	42476403	10132360
r-75-2	1	1	24	3	254	3530	4.3534809	770	0.5998263	64691938	13523282
r-75-3	1	1	13	1	131	1765	1.905616	2914	0.6987619	70024768	248160
r-75-3	1	1	13	1	262	3206	4.3764628	1354	0.9914375	142505497	508727
r-75-3	1	1	13	2	131	1922	1.6728991	2145	0.5069941	53618403	569481
r-75-3	1	1	13	2	262	3320	6.9983618	5509	3.7320433	206574247	2058465
r-75-3	1	1	13	3	131	1940	1.9023701	3092	0.7156085	56047507	1111694
r-75-3	1	1	13	3	262	3279	5.9566215	3815	2.6541432	164930521	2671140
r-75-3	1	1	26	1	131	1935	1.9156934	2422	0.6409681	61352894	1500660
r-75-3	1	1	26	1	262	3358	4.6109704	1442	1.0764596	127309509	3310226
r-75-3	1	1	26	2	131	2069	2.0498184	2786	0.7448475	46420634	4111372
r-75-3	1	1	26	2	262	3408	4.8032916	1820	1.3170945	95604260	9158731
r-75-3	1	1	26	3	131	2149	2.0487933	2322	0.6584235	34023919	6415337
r-75-3	1	1	26	3	262	3439	3.7186942	133	0.0928215	55053353	11593188
r-75-4	1	1	12	1	133	1847	4.1020738	10443	2.7802393	149336083	574946
r-75-4	1	1	12	1	266	3208	5.2461048	2258	1.7467176	168705483	486389
r-75-4	1	1	12	2	133	2015	2.6697271	5000	1.3650125	84743281	893321
r-75-4	1	1	12	2	266	3252	5.2065059	2735	1.882362	154396300	1440938
r-75-4	1	1	12	3	133	1957	1.5773503	1002	0.286314	47309098	926660
r-75-4	1	1	12	3	266	3295	6.3712227	4079	3.0016552	179163024	2541357
r-75-4	1	1	24	1	133	1976	1.7874282	1083	0.3380825	55458872	1413051
r-75-4	1	1	24	1	266	3279	3.9070098	329	0.2708268	108160294	2493096
r-75-4	1	1	24	2	133	2143	1.8795169	1247	0.3787601	41412411	3719074
r-75-4	1	1	24	2	266	3390	4.3092142	891	0.6806748	85131393	7251699
r-75-4	1	1	24	3	133	2311	1.8566512	652	0.2309915	29407496	5676800
r-75-4	1	1	24	3	266	3609	5.7001033	2600	1.9720214	82683347	16905400
r-75-5	1	1	12	1	124	1749	1.8195885	3077	0.7022226	63900368	239892
r-75-5	1	1	12	1	249	3308	4.3276152	1565	1.059611	138543654	525236
r-75-5	1	1	12	2	124	1744	2.0917317	4762	1.0264451	64374652	709802
r-75-5	1	1	12	2	249	3388	9.0057391	8840	5.8603372	257635705	2507410
r-75-5	1	1	12	3	124	1821	2.1667715	5061	1.0933746	61312809	1219978
r-75-5	1	1	12	3	249	3564	11.7861685	12953	8.5441	313777503	5998407
r-75-5	1	1	25	1	124	1761	1.4777423	1394	0.3219253	46797777	1070418
r-75-5	1	1	25	1	249	3250	6.7031987	5002	3.3439539	190081037	4004101
r-75-5	1	1	25	2	124	1732	2.0350226	3707	0.8624133	47108694	3776901
r-75-5	1	1	25	2	249	3505	4.6405428	2065	1.346773	95930567	7544596
r-75-5	1	1	25	3	124	2064	1.9980298	3059	0.7525199	34829271	5774598
r-75-5	1	1	25	3	249	3531	4.3138792	1303	0.892791	66850946	11973597
r-100-1	1	1	12	1	146	2599	3.5843438	1001	0.6061753	122675597	504715
r-100-1	1	1	12	1	292	4570	15.6752087	3997	7.170171	482849855	1779142
r-100-1	1	1	12	2	146	2780	3.3739737	886	0.5083777	99192568	1283266
r-100-1	1	1	12	2	292	4656	16.7825394	4853	8.3673024	441492713	5361476
r-100-1	1	1	12	3	146	2769	4.5065531	2639	1.5517434	118829200	2908624
r-100-1	1	1	12	3	292	4727	13.7426271	3091	5.3888645	334271711	7624962
r-100-1	1	1	25	1	146	2534	3.1013978	183	0.1146232	97817856	2354965
r-100-1	1	1	25	1	292	4557	11.3759265	1514	2.7347602	307326450	7634218
r-100-1	1	1	25	2	146	2795	3.434924	565	0.3594542	77710816	6381747
r-100-1	1	1	25	2	292	4762	10.1344926	691	1.2061515	190040348	17848717
r-100-1	1	1	25	3	146	2904	4.5885476	1971	1.3129121	75488531	14569223
r-100-1	1	1	25	3	292	4796	11.4351926	1247	2.3350866	158266720	34463541
r-100-2	1	1	12	1	139	2618	5.0403444	4464	2.5012646	178485512	727703
r-100-2	1	1	12	1	278	4581	16.7812389	5757	9.3484866	536100379	1659834
r-100-2	1	1	12	2	139	2649	3.1871007	1385	0.7306883	95553742	1260718
r-100-2	1	1	12	2	278	4439	16.7186031	6351	9.559351	464934903	4890575
r-100-2	1	1	12	3	139	2755	3.3807811	1615	0.8580679	89366101	2206069
r-100-2	1	1	12	3	278	4488	20.0368251	8441	12.835924	514069979	9332985
r-100-2	1	1	25	1	139	2570	3.0340891	573	0.335503	100534577	2322836
r-100-2	1	1	25	1	278	4267	7.2338968	4	0.004036	225575948	4401085
r-100-2	1	1	25	2	139	2748	3.3114399	894	0.54627	79363847	6874873
r-100-2	1	1	25	2	278	4207	7.3150295	0	0	167777875	12057635
r-100-2	1	1	25	3	139	2636	2.9403282	8	0.0066578	53122032	9506268
r-100-2	1	1	25	3	278	4387	7.6017296	0	0	131454578	20281209
r-100-3	1	1	12	1	145	2302	3.8986585	2298	1.2702892	136695005	566883
r-100-3	1	1	12	1	290	4378	18.116925	5927	9.9068171	550265231	1811173
r-100-3	1	1	12	2	145	2536	4.3049788	3270	1.7262276	127171734	1704831
r-100-3	1	1	12	2	290	4652	11.79032	2534	4.0574685	316406065	3561919
r-100-3	1	1	12	3	145	2577	4.4474411	3656	1.8803952	118286132	3013104
r-100-3	1	1	12	3	290	4792	20.9764555	8272	13.1848714	520296685	10075944
r-100-3	1	1	25	1	145	2357	3.1861153	599	0.3574387	103174217	2374704
r-100-3	1	1	25	1	290	4413	9.5618311	1037	1.7312897	278529022	5599845
r-100-3	1	1	25	2	145	2577	5.214244	3776	2.2684732	122856448	10611132
r-100-3	1	1	25	2	290	4517	7.894001	0	0	169478181	11929176
r-100-3	1	1	25	3	145	2719	3.9231964	1209	0.8102186	68247036	12738189
r-100-3	1	1	25	3	290	4724	9.4734293	672	1.1715334	151287309	25113471
r-100-4	1	1	13	1	138	2295	5.7081716	6063	3.1741003	206305156	780646
r-100-4	1	1	13	1	277	3985	12.8120201	3187	5.0644122	398957761	1612041
r-100-4	1	1	13	2	138	2462	4.2264588	3488	1.7822891	129971790	1627564
r-100-4	1	1	13	2	277	4234	13.6912508	3767	5.9385415	362336294	4725611
r-100-4	1	1	13	3	138	2548	5.1333028	5313	2.6642533	140102746	3416382
r-100-4	1	1	13	3	277	4360	11.9259109	2669	4.2309353	295215537	6927072
r-100-4	1	1	27	1	138	2314	3.3465209	1535	0.7977857	111633745	2614621
r-100-4	1	1	27	1	277	4249	8.3204084	486	0.7814445	239147465	5308928
r-100-4	1	1	27	2	138	2441	3.1019778	1085	0.5664675	75647026	6252063
r-100-4	1	1	27	2	277	4304	8.2121854	481	0.7315033	171620569	13396400
r-100-4	1	1	27	3	138	2707	2.72213	69	0.0355444	50672933	8415567
r-100-4	1	1	27	3	277	4367	10.1302699	1569	2.440365	157406274	28673783
r-100-5	1	1	12	1	132	2419	3.5704019	1729	0.9314724	125713251	569574
r-100-5	1	1	12	1	264	4191	9.4321097	1034	1.6961937	298336715	1156518
r-100-5	1	1	12	2	132	2564	5.0094046	5325	2.5617838	150635299	2217128
r-100-5	1	1	12	2	264	4416	16.9100445	6415	9.6602871	477150392	5078597
r-100-5	1	1	12	3	132	2686	6.2039366	7637	3.7440537	165835870	4602700
r-100-5	1	1	12	3	264	4476	15.6655679	5598	8.3423358	399798163	8689057
r-100-5	1	1	24	1	132	2491	3.0146788	285	0.1880611	98539951	2423902
r-100-5	1	1	24	1	264	4164	7.6060151	0	0	231984904	4761330
r-100-5	1	1	24	2	132	2592	3.3485169	692	0.4482699	79300334	7333926
r-100-5	1	1	24	2	264	4347	13.9649342	3994	6.2504778	305467706	23418632
r-100-5	1	1	24	3	132	2872	3.5671393	684	0.45341	61638175	12129832
r-100-5	1	1	24	3	264	4518	7.9915932	0	0	132189435	22003067
r-125-1	1	1	11	1	151	3304	9.8032371	2994	3.8764816	319789698	1592364
r-125-1	1	1	11	1	303	5316	19.7805518	817	2.9612709	569222044	2246503
r-125-1	1	1	11	2	151	3365	6.1690466	274	0.3283325	162466366	2811513
r-125-1	1	1	11	2	303	5370	24.6105735	2262	7.8431329	587328251	7641314
r-125-1	1	1	11	3	151	3645	7.7264648	1514	1.8706066	180595656	5860717
r-125-1	1	1	11	3	303	5475	17.0362485	29	0.0666717	359265766	10175472
r-125-1	1	1	23	1	151	3186	6.3861207	81	0.1121493	198387251	4962401
r-125-1	1	1	23	1	303	5470	17.3349752	0	0	466119950	10567310
r-125-1	1	1	23	2	151	3518	8.9898665	1469	2.3125511	192570794	18871198
r-125-1	1	1	23	2	303	5733	18.6674861	0	0	340636012	28775491
r-125-1	1	1	23	3	151	3710	7.4657179	39	0.0560399	118748844	22546306
r-125-1	1	1	23	3	303	5839	20.1008151	0	0	263596279	51195727
r-125-2	1	1	13	1	153	2853	5.5373017	723	0.7705444	186379466	1132737
r-125-2	1	1	13	1	307	4952	28.4406049	3800	12.5634505	800526193	4079405
r-125-2	1	1	13	2	153	2966	6.0503095	1323	1.384246	166116875	3329113
r-125-2	1	1	13	2	307	5157	32.2546698	5005	16.3549605	740376601	13967269
r-125-2	1	1	13	3	153	3178	7.8049584	3286	3.1452733	185163882	7617773
r-125-2	1	1	13	3	307	5454	26.213016	3014	10.0131093	534283679	20070736
r-125-2	1	1	26	1	153	2918	6.4911566	1335	1.5350346	208352293	5212257
r-125-2	1	1	26	1	307	4983	19.5490952	1291	4.2724458	525985773	12381768
r-125-2	1	1	26	2	153	3198	6.5681194	1050	1.2809437	150507775	13717416
r-125-2	1	1	26	2	307	5005	17.8276126	477	1.5916068	339349988	28549487
r-125-2	1	1	26	3	153	3258	6.8540774	766	1.0006739	113856685	22241848
r-125-2	1	1	26	3	307	5303	18.7876927	308	1.2103883	256968259	48706300
r-125-3	1	1	12	1	156	2882	10.3259443	5274	5.3878521	351785656	1467822
r-125-3	1	1	12	1	312	4679	29.4154897	4582	14.1646152	868156388	3178888
r-125-3	1	1	12	2	156	2953	6.8161696	1873	1.964139	191330597	2547676
r-125-3	1	1	12	2	312	4821	32.5104407	5614	17.3114459	787183693	10139099
r-125-3	1	1	12	3	156	3148	7.3904755	2418	2.5074182	183590959	4821725
r-125-3	1	1	12	3	312	5193	39.1021468	7612	23.6754481	858791165	20183084
r-125-3	1	1	25	1	156	2829	6.2376016	981	1.1257975	207693821	4823795
r-125-3	1	1	25	1	312	4432	16.5063754	476	1.5132695	478587264	9363948
r-125-3	1	1	25	2	156	3062	6.8734436	1083	1.3556362	164663326	14290916
r-125-3	1	1	25	2	312	4882	18.9016161	954	3.170827	386314331	29714887
r-125-3	1	1	25	3	156	3274	6.0343354	0	0	107374184	18834096
r-125-3	1	1	25	3	312	5011	18.3183697	302	1.0911057	271144578	45418229
r-125-4	1	1	12	1	166	2908	13.3614729	6630	7.7351894	456007646	2059421
r-125-4	1	1	12	1	332	4945	22.5098943	1592	5.6182152	653169766	2478273
r-125-4	1	1	12	2	166	3326	8.7165981	2864	3.2603242	247476716	3559376
r-125-4	1	1	12	2	332	5098	22.3236621	1730	5.8635316	537261302	7084818
r-125-4	1	1	12	3	166	3172	12.6546092	6364	7.1160548	316372794	9329756
r-125-4	1	1	12	3	332	5170	22.2169492	1633	5.5312524	482412661	12270872
r-125-4	1	1	25	1	166	2871	13.4508312	5642	7.2426715	422765722	10393221
r-125-4	1	1	25	1	332	4834	18.6791241	411	1.4512461	503113578	10776408
r-125-4	1	1	25	2	166	2974	6.8641935	250	0.3143853	157691293	12895991
r-125-4	1	1	25	2	332	5137	22.1187208	1026	3.919365	416993411	32967870
r-125-4	1	1	25	3	166	3224	7.0290025	18	0.02166	122402519	20499223
r-125-4	1	1	25	3	332	5285	29.2342597	2396	9.8080649	393688916	76148705
r-125-5	1	1	13	1	157	2757	5.1735878	350	0.3570394	172978249	877222
r-125-5	1	1	13	1	314	5147	31.1388065	4563	14.9498215	863083819	4534834
r-125-5	1	1	13	2	157	2997	9.8307895	5191	5.0901336	270877686	4216148
r-125-5	1	1	13	2	314	5366	23.4225811	2185	7.3394491	524354046	9612252
r-125-5	1	1	13	3	157	3202	8.0549857	3276	3.2524435	195226547	5957659
r-125-5	1	1	13	3	314	5701	37.6293246	6402	21.1832781	743446333	28066483
r-125-5	1	1	26	1	157	2829	5.626469	646	0.673656	183974037	4411316
r-125-5	1	1	26	1	314	5144	16.725093	123	0.3969284	447757787	10610197
r-125-5	1	1	26	2	157	2880	5.7591729	527	0.5958177	136183285	11407825
r-125-5	1	1	26	2	314	5502	18.7096994	326	1.095697	342341089	30607763
r-125-5	1	1	26	3	157	3344	6.654528	871	1.0768877	114802360	21395784
r-125-5	1	1	26	3	314	5664	20.8201132	326	1.2769124	263371383	52829349
r-150-1	1	1	12	1	170	3245	9.1570139	546	0.9478622	308882702	1276711
r-150-1	1	1	12	1	340	5942	37.4889297	1514	8.877316	1015869851	3905738
r-150-1	1	1	12	2	170	3578	18.5561969	6251	10.5870154	501551358	6848535
r-150-1	1	1	12	2	340	6263	28.5042004	66	0.3100942	616435333	9175562
r-150-1	1	1	12	3	170	3823	13.3658445	3257	5.3743283	315718974	8859869
r-150-1	1	1	12	3	340	6669	47.4421785	3208	18.6642291	928547396	23650598
r-150-1	1	1	25	1	170	3188	8.8266659	88	0.1524652	294124641	5922982
r-150-1	1	1	25	1	340	5965	35.315313	1359	8.0196898	968267570	18678135
r-150-1	1	1	25	2	170	3508	9.8939064	453	0.9459016	239138159	17469914
r-150-1	1	1	25	2	340	6106	31.6424626	413	2.6229467	620987881	43157388
r-150-1	1	1	25	3	170	3784	10.3129154	251	0.5442184	183369564	29164210
r-150-1	1	1	25	3	340	6356	33.3527279	162	1.0940724	470232093	71900382
r-150-2	1	1	12	1	155	3213	16.4840379	4817	8.3283081	554161027	2523967
r-150-2	1	1	12	1	311	5764	63.8300861	6062	35.4795392	1701346858	7831008
r-150-2	1	1	12	2	155	3383	10.9015393	1798	2.9172964	290972602	4992035
r-150-2	1	1	12	2	311	6157	61.8679076	5765	33.3706774	1354522713	20781657
r-150-2	1	1	12	3	155	3720	13.3075195	3400	5.4491814	311079779	10653007
r-150-2	1	1	12	3	311	6535	73.7180041	7621	44.784263	1420926577	45385787
r-150-2	1	1	24	1	155	3026	9.3414408	581	1.0258627	298642343	6462780
r-150-2	1	1	24	1	311	5853	31.6773024	137	0.8834181	746622785	16161668
r-150-2	1	1	24	2	155	3438	8.7563695	132	0.2097889	207333412	15241113
r-150-2	1	1	24	2	311	6213	39.7677063	1486	9.5747772	702239578	57555412
r-150-2	1	1	24	3	155	3902	13.5291137	1981	4.1597481	226860727	40348842
r-150-2	1	1	24	3	311	6446	36.5265639	701	4.7823121	477606866	85156836
