InstanceName	alpha	beta	L	m	Tmax	ObjValue	CpuTime	IterToBest	TimeToBest
poi-10-1	1	0.67	15	1	59	201	0.1150285	0	0
poi-10-1	1	0.67	15	1	118	295	0.1658221	0	0
poi-10-1	1	0.67	15	2	59	201	0.1145085	0	0
poi-10-1	1	0.67	15	2	118	295	0.1674718	0	0
poi-10-1	1	0.67	15	3	59	201	0.0430355	0	0
poi-10-1	1	0.67	15	3	118	295	0.049051	0	0
poi-10-1	1	0.67	30	1	59	201	0.0250456	0	0
poi-10-1	1	0.67	30	1	118	295	0.0525799	0	0
poi-10-1	1	0.67	30	2	59	201	0.0261812	0	0
poi-10-1	1	0.67	30	2	118	295	0.05561	0	0
poi-10-1	1	0.67	30	3	59	201	0.0270905	0	0
poi-10-1	1	0.67	30	3	118	295	0.0586725	0	0
poi-10-1	1	1	15	1	59	201	0.0370834	0	0
poi-10-1	1	1	15	1	118	295	0.0732978	0	0
poi-10-1	1	1	15	2	59	201	0.0377193	0	0
poi-10-1	1	1	15	2	118	295	0.075276	0	0
poi-10-1	1	1	15	3	59	201	0.0394291	0	0
poi-10-1	1	1	15	3	118	295	0.0756356	0	0
poi-10-1	1	1	30	1	59	201	0.0356696	0	0
poi-10-1	1	1	30	1	118	295	0.0704277	0	0
poi-10-1	1	1	30	2	59	201	0.0392921	0	0
poi-10-1	1	1	30	2	118	295	0.076235	0	0
poi-10-1	1	1	30	3	59	201	0.0425063	0	0
poi-10-1	1	1	30	3	118	295	0.0822101	0	0
poi-10-1	1	1.33	15	1	59	233	0.0303467	0	0
poi-10-1	1	1.33	15	1	118	327	0.0624745	0	0
poi-10-1	1	1.33	15	2	59	233	0.0314726	0	0
poi-10-1	1	1.33	15	2	118	327	0.0639416	0	0
poi-10-1	1	1.33	15	3	59	233	0.0327249	0	0
poi-10-1	1	1.33	15	3	118	327	0.0653252	0	0
poi-10-1	1	1.33	30	1	59	233	0.0347669	0	0
poi-10-1	1	1.33	30	1	118	347	0.0648887	4	7.07E-05
poi-10-1	1	1.33	30	2	59	233	0.0383456	0	0
poi-10-1	1	1.33	30	2	118	347	0.0693595	2	3.59E-05
poi-10-1	1	1.33	30	3	59	233	0.0419229	0	0
poi-10-1	1	1.33	30	3	118	347	0.074772	2	3.84E-05
poi-10-1	2	0.67	15	1	59	201	0.0229806	0	0
poi-10-1	2	0.67	15	1	118	295	0.0398431	0	0
poi-10-1	2	0.67	15	2	59	201	0.0275931	0	0
poi-10-1	2	0.67	15	2	118	295	0.040777	0	0
poi-10-1	2	0.67	15	3	59	201	0.0243458	0	0
poi-10-1	2	0.67	15	3	118	295	0.0416448	0	0
poi-10-1	2	0.67	30	1	59	201	0.0249943	0	0
poi-10-1	2	0.67	30	1	118	295	0.0519867	0	0
